device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
1,88868E+11;(0.5912427306175232, 0.46330928802490234, 0.8016505241394043);(-47.31348419189453, 17.175134658813477, 799.2418823242188);1;(15.625082015991211, 215.44125366210938, 70.3683090209961);(0.5260027647018433, 0.37479662895202637);1;30.353.240.966.796.800;1;(0.4757658541202545, 0.4625401198863983, 0.8017757534980774);(17.479875564575195, 18.245342254638672, 800.4891967773438);1;(4.930079936981201, 226.23643493652344, 74.29745483398438);(0.5082045197486877, 0.34080904722213745);1;306.646.728.515.625;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5912183523178101, 0.46323829889297485, 0.8016418218612671);(-47.29991149902344, 17.20506477355957, 799.2376708984375);1;(16.0241756439209, 217.2235565185547, 71.01704406738281);(0.526667058467865, 0.36918526887893677);1;30.263.214.111.328.100;1;(0.4757186472415924, 0.4624561369419098, 0.8017652630805969);(17.505870819091797, 18.2808780670166, 800.4826049804688);1;(5.302672386169434, 226.22291564941406, 74.29251861572266);(0.5088245272636414, 0.34085166454315186);1;3.078.887.939.453.120;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5911883115768433, 0.4631974399089813, 0.801632821559906);(-47.28303146362305, 17.22235679626465, 799.2337646484375);1;(17.049978256225586, 217.09396362304688, 70.96988677978516);(0.5283740758895874, 0.36959323287010193);1;3.016.082.763.671.870;1;(0.4756976068019867, 0.46244746446609497, 0.8017585277557373);(17.517580032348633, 18.284578323364258, 800.4788818359375);1;(5.606332302093506, 224.85133361816406, 73.79328918457031);(0.5093299150466919, 0.3451699912548065);1;3.097.198.486.328.120;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5911779403686523, 0.46319466829299927, 0.801597535610199);(-47.27622985839844, 17.223222732543945, 799.2164916992188);1;(13.544628143310547, 211.3734588623047, 68.8877944946289);(0.5225405097007751, 0.3876035511493683);1;30.641.632.080.078.100;1;(0.4756828546524048, 0.4624710977077484, 0.8017190098762512);(17.525545120239258, 18.274255752563477, 800.4591674804688);1;(5.302855491638184, 224.967529296875, 73.83558654785156);(0.50882488489151, 0.34480413794517517);1;3.091.094.970.703.120;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5911725163459778, 0.4632171094417572, 0.8015545606613159);(-47.2718391418457, 17.213346481323242, 799.1954345703125);1;(14.989405632019043, 210.09291076660156, 68.42172241210938);(0.5249449014663696, 0.39163529872894287);1;30.650.787.353.515.600;1;(0.4756653308868408, 0.4625544846057892, 0.8016692996025085);(17.53523826599121, 18.238664627075195, 800.4349365234375);1;(4.179243087768555, 224.8201446533203, 73.78195190429688);(0.5069549083709717, 0.3452680706977844);1;307.965.087.890.625;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5911734104156494, 0.4632658362388611, 0.8015052676200867);(-47.27067565917969, 17.192333221435547, 799.1712646484375);1;(15.036818504333496, 211.0356903076172, 68.76483917236328);(0.5250238180160522, 0.3886670172214508);1;30.716.094.970.703.100;1;(0.47566384077072144, 0.46259358525276184, 0.8016334176063538);(17.53586196899414, 18.2218017578125, 800.4172973632812);1;(3.3488571643829346, 222.7253875732422, 73.01952362060547);(0.5055730938911438, 0.3518632650375366);1;30.832.672.119.140.600;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5911787748336792, 0.4633104205131531, 0.8014572858810425);(-47.27205276489258, 17.17303466796875, 799.1475219726562);1;(18.826141357421875, 213.58358764648438, 69.69217681884766);(0.531329870223999, 0.38064518570899963);1;303.631.591.796.875;1;(0.4756644368171692, 0.4626539349555969, 0.8015770316123962);(17.535188674926758, 18.195730209350586, 800.3897094726562);1;(0.6155868172645569, 221.1034698486328, 72.42919921875);(0.5010244250297546, 0.3569697141647339);1;31.126.708.984.375;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.591189980506897, 0.4634215235710144, 0.8014050126075745);(-47.276268005371094, 17.125686645507812, 799.1221313476562);1;(17.63763999938965, 215.1098175048828, 70.24769592285156);(0.529352068901062, 0.37584012746810913);1;3.036.895.751.953.120;1;(0.47569066286087036, 0.462697297334671, 0.8015169501304626);(17.520017623901367, 18.17662811279297, 800.3604736328125);1;(1.6253812313079834, 217.7742156982422, 71.21748352050781);(0.5027048587799072, 0.3674514591693878);1;312.628.173.828.125;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5912128686904907, 0.4634348452091217, 0.8013539910316467);(-47.28750991821289, 17.1193790435791, 799.0960693359375);1;(14.519165992736816, 211.33607482910156, 68.87417602539062);(0.5241624116897583, 0.38772138953208923);1;3.043.975.830.078.120;1;(0.47571077942848206, 0.46271148324012756, 0.801481306552887);(17.508405685424805, 18.170135498046875, 800.3429565429688);1;(6.835447311401367, 206.80355834960938, 67.2244873046875);(0.5113753080368042, 0.40199142694473267);1;320.648.193.359.375;1;1,8886E+11;(0.5, 0.5)
1,88868E+11;(0.5912302136421204, 0.46345055103302, 0.8013115525245667);(-47.29587936401367, 17.112205505371094, 799.074462890625);1;(13.767621040344238, 212.31788635253906, 69.23155212402344);(0.5229116678237915, 0.3846301734447479);1;30.408.935.546.875;1;(0.47573745250701904, 0.4627299904823303, 0.8014310598373413);(17.492963790893555, 18.16160011291504, 800.318359375);1;(9.373347282409668, 210.0318145751953, 68.39945220947266);(0.5155987739562988, 0.39182764291763306);1;31.975.555.419.921.800;1;1,8886E+11;(0.5, 0.5)
