device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
25230657461;(0.621960461139679, 0.29974156618118286, 0.4986805319786072);(-52.6112060546875, 69.11547088623047, 643.50439453125);1;(12.650286674499512, 213.1071014404297, 69.5187759399414);(0.5210521817207336, 0.38214537501335144);1;2.854583740234375;1;(0.4724431037902832, 0.29868024587631226, 0.4993084669113159);(15.00195026397705, 70.483642578125, 645.6451416015625);1;(15.515405654907227, 201.75804138183594, 65.3880615234375);(0.5258201956748962, 0.4178766906261444);1;2.7412872314453125;1;632608847403;(0.5, 0.5)
25230668564;(0.6219800114631653, 0.29972246289253235, 0.49858593940734863);(-52.616153717041016, 69.1166763305664, 643.4561157226562);1;(11.645445823669434, 212.7939453125, 69.4048080444336);(0.5193799734115601, 0.3831312954425812);1;2.8348541259765625;1;(0.4724942445755005, 0.29866769909858704, 0.4992244839668274);(14.97773551940918, 70.48310852050781, 645.6034545898438);1;(16.23479461669922, 201.7476348876953, 65.38426208496094);(0.5270174741744995, 0.4179095923900604);1;2.7321929931640625;1;632608858506;(0.5, 0.5)
25230679667;(0.6219871640205383, 0.2996581494808197, 0.4983372688293457);(-52.60939407348633, 69.12493896484375, 643.330322265625);1;(11.738215446472168, 212.35353088378906, 69.24449920654297);(0.5195344090461731, 0.38451793789863586);1;2.841461181640625;1;(0.4725099802017212, 0.29859456419944763, 0.49897462129592896);(14.967398643493652, 70.49409484863281, 645.476806640625);1;(14.698101043701172, 200.99827575683594, 65.11151123046875);(0.5244601368904114, 0.4202687442302704);1;2.7394256591796875;1;632608869601;(0.5, 0.5)
25230690770;(0.6219702959060669, 0.2996072769165039, 0.4981999397277832);(-52.59628677368164, 69.13484954833984, 643.2610473632812);1;(8.753985404968262, 214.621826171875, 70.07009887695312);(0.5145681500434875, 0.37737640738487244);1;2.837249755859375;1;(0.47251155972480774, 0.29856905341148376, 0.4988292157649994);(14.96487045288086, 70.49478912353516, 645.4036865234375);1;(14.333463668823242, 203.37838745117188, 65.97777557373047);(0.5238534212112427, 0.4127753973007202);1;2.763519287109375;1;632608880695;(0.5, 0.5)
25230701873;(0.6219369173049927, 0.2995225191116333, 0.4980858266353607);(-52.57679748535156, 69.15746307373047, 643.20263671875);1;(9.802345275878906, 215.40061950683594, 70.3535385131836);(0.5163127779960632, 0.37492460012435913);1;2.8347015380859375;1;(0.47247207164764404, 0.2985154092311859, 0.4987246096134186);(14.98132610321045, 70.50729370117188, 645.3492431640625);1;(13.772363662719727, 204.55462646484375, 66.4059066772461);(0.5229195952415466, 0.40907201170921326);1;2.762451171875;1;632608891787;(0.5, 0.5)
25230712976;(0.6219007968902588, 0.29941651225090027, 0.4979001581668854);(-52.553184509277344, 69.18342590332031, 643.1080932617188);1;(12.888747215270996, 215.82571411132812, 70.50823211669922);(0.521449089050293, 0.37358611822128296);1;2.830291748046875;1;(0.4724314510822296, 0.2984451353549957, 0.49853819608688354);(14.997255325317383, 70.5209732055664, 645.2536010742188);1;(15.588549613952637, 205.38253784179688, 66.70724487304688);(0.5259420275688171, 0.4064655005931854);1;2.7584381103515625;1;632608902878;(0.5, 0.5)
25230724079;(0.6218547224998474, 0.2993747293949127, 0.4978824555873871);(-52.531829833984375, 69.19688415527344, 643.0994262695312);1;(14.824285507202148, 213.55384826660156, 69.68134307861328);(0.5246701240539551, 0.38073885440826416);1;2.84149169921875;1;(0.4723793864250183, 0.29841938614845276, 0.4985186755657196);(15.020513534545898, 70.52877807617188, 645.2423706054688);1;(16.00230598449707, 204.62985229492188, 66.43331146240234);(0.5266305804252625, 0.408835232257843);1;2.7552032470703125;1;632608913973;(0.5, 0.5)
25230735183;(0.6217822432518005, 0.2993314862251282, 0.4977239966392517);(-52.49296569824219, 69.20359802246094, 643.02197265625);1;(16.345439910888672, 211.9005889892578, 69.07962036132812);(0.5272015929222107, 0.38594403862953186);1;2.84967041015625;1;(0.47232574224472046, 0.29839572310447693, 0.4983745217323303);(15.043039321899414, 70.52911376953125, 645.1693115234375);1;(15.30894660949707, 204.34344482421875, 66.32906341552734);(0.5254767537117004, 0.4097370207309723);1;2.7620086669921875;1;632608925073;(0.5, 0.5)
25230746286;(0.6216540932655334, 0.299297958612442, 0.49769848585128784);(-52.434505462646484, 69.21463775634766, 643.0126953125);1;(13.848735809326172, 211.5072479248047, 68.93649291992188);(0.5230466723442078, 0.3871823847293854);1;2.8549652099609375;1;(0.4722133278846741, 0.2983560562133789, 0.49834558367729187);(15.09345817565918, 70.54133605957031, 645.1522216796875);1;(13.403969764709473, 203.54649353027344, 66.03899383544922);(0.522306501865387, 0.4122460186481476);1;2.7767333984375;1;632608936173;(0.5, 0.5)
25230757389;(0.6215965747833252, 0.29927748441696167, 0.4976271986961365);(-52.405860900878906, 69.21820068359375, 642.9786987304688);1;(15.153984069824219, 212.23214721679688, 69.20032501220703);(0.5252188444137573, 0.38490012288093567);1;2.843597412109375;1;(0.47215041518211365, 0.29832926392555237, 0.49826526641845703);(15.120888710021973, 70.54623413085938, 645.1106567382812);1;(12.371101379394531, 204.81149291992188, 66.49940490722656);(0.520587682723999, 0.40826332569122314);1;2.7639617919921875;1;632608947273;(0.5, 0.5)
25230768492;(0.6215212941169739, 0.2992438077926636, 0.4977778196334839);(-52.378204345703125, 69.2381820678711, 643.0547485351562);1;(13.96441650390625, 212.8236083984375, 69.41557312011719);(0.5232391357421875, 0.3830379843711853);1;2.856597900390625;1;(0.4720699191093445, 0.2983022928237915, 0.4984022080898285);(15.158832550048828, 70.56307220458984, 645.1768188476562);1;(12.542195320129395, 204.29208374023438, 66.31036376953125);(0.5208724141120911, 0.4098985493183136);1;2.779754638671875;1;632608958372;(0.5, 0.5)
25230779595;(0.6214611530303955, 0.29918909072875977, 0.4977756440639496);(-52.3511962890625, 69.25695037841797, 643.0538330078125);1;(15.928816795349121, 211.83514404296875, 69.05580139160156);(0.5265082716941833, 0.3861500322818756);1;2.8472442626953125;1;(0.47199445962905884, 0.298301100730896, 0.4983992874622345);(15.192961692810059, 70.56361389160156, 645.1744995117188);1;(14.632170677185059, 204.7544708251953, 66.4786605834961);(0.5243505239486694, 0.408442884683609);1;2.7733001708984375;1;632608969474;(0.5, 0.5)
25230790698;(0.6214171051979065, 0.29918181896209717, 0.49783778190612793);(-52.3339729309082, 69.26309967041016, 643.0859375);1;(15.37976360321045, 213.26242065429688, 69.5752944946289);(0.5255945324897766, 0.3816564679145813);1;2.856414794921875;1;(0.47194671630859375, 0.29831674695014954, 0.49846386909484863);(15.215432167053223, 70.56205749511719, 645.2066650390625);1;(16.592609405517578, 204.01612854003906, 66.2099380493164);(0.5276129245758057, 0.4107673764228821);1;2.7725982666015625;1;632608980577;(0.5, 0.5)
25230801801;(0.6213749647140503, 0.2992056608200073, 0.49780577421188354);(-52.313751220703125, 69.2537841796875, 643.0724487304688);1;(15.117945671081543, 211.94105529785156, 69.0943603515625);(0.5251587629318237, 0.3858165144920349);1;2.8500823974609375;1;(0.471916526556015, 0.2983483076095581, 0.49843165278434753);(15.228869438171387, 70.54978942871094, 645.1914672851562);1;(15.226058006286621, 202.0760955810547, 65.50381469726562);(0.5253388285636902, 0.416875422000885);1;2.7690887451171875;1;632608991681;(0.5, 0.5)
25230812904;(0.6213430166244507, 0.2992485761642456, 0.49793553352355957);(-52.304603576660156, 69.2466049194336, 643.139404296875);1;(15.066527366638184, 211.81768798828125, 69.04944610595703);(0.5250732898712158, 0.38620513677597046);1;2.8643951416015625;1;(0.471880167722702, 0.29837578535079956, 0.4985584616661072);(15.2469482421875, 70.54759216308594, 645.2550659179688);1;(14.117875099182129, 201.84486389160156, 65.41966247558594);(0.5234946012496948, 0.417603462934494);1;2.7854461669921875;1;632609002785;(0.5, 0.5)
25230824008;(0.6213452816009521, 0.29927390813827515, 0.4980089068412781);(-52.30854415893555, 69.24201202392578, 643.1765747070312);1;(15.413213729858398, 210.2275390625, 68.47067260742188);(0.525650143623352, 0.3912114202976227);1;2.86273193359375;1;(0.4718778133392334, 0.2983974814414978, 0.4986330568790436);(15.249004364013672, 70.54435729980469, 645.2929077148438);1;(12.205023765563965, 202.8856658935547, 65.79847717285156);(0.5203112363815308, 0.414326548576355);1;2.7679290771484375;1;632609013890;(0.5, 0.5)
25230835111;(0.6213652491569519, 0.2993357181549072, 0.498139888048172);(-52.32271957397461, 69.22810363769531, 643.2430419921875);1;(15.759049415588379, 213.57717895507812, 69.68984985351562);(0.5262256860733032, 0.3806653618812561);1;2.869140625;1;(0.47188252210617065, 0.2984308898448944, 0.49875280261039734);(15.24842357635498, 70.53960418701172, 645.3536987304688);1;(13.0217866897583, 204.88775634765625, 66.52716827392578);(0.521670401096344, 0.4080231487751007);1;2.7639617919921875;1;632609024991;(0.5, 0.5)
