device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
25346785045;(0.6306750178337097, 0.31636950373649597, 0.4643017649650574);(-55.00736999511719, 61.77578353881836, 626.7157592773438);1;(24.577438354492188, 202.30906677246094, 65.58863067626953);(0.5409010648727417, 0.41614189743995667);1;2.6286468505859375;1;(0.4770105481147766, 0.3176891803741455, 0.46461132168769836);(12.667045593261719, 62.34801483154297, 629.0967407226562);1;(15.293978691101074, 199.28082275390625, 64.4864273071289);(0.5254517793655396, 0.42567601799964905);1;2.5144805908203125;1;632724976670;(0.5, 0.5)
25346796148;(0.6307426691055298, 0.3163077235221863, 0.46406421065330505);(-55.02662658691406, 61.78379821777344, 626.593505859375);1;(25.021320343017578, 202.79136657714844, 65.76412963867188);(0.5416397452354431, 0.41462355852127075);1;2.6141357421875;1;(0.4770776331424713, 0.31760239601135254, 0.4643576741218567);(12.634536743164062, 62.36374282836914, 628.9683837890625);1;(13.598073959350586, 198.7204132080078, 64.28243255615234);(0.5226294994354248, 0.4274405241012573);1;2.5189056396484375;1;632724987773;(0.5, 0.5)
25346807251;(0.6308158040046692, 0.31628966331481934, 0.46394383907318115);(-55.053321838378906, 61.78318786621094, 626.530517578125);1;(24.5284481048584, 203.64474487304688, 66.07472229003906);(0.540819525718689, 0.41193678975105286);1;2.6053009033203125;1;(0.47717544436454773, 0.31757375597953796, 0.4642249643802643);(12.589872360229492, 62.36618423461914, 628.90234375);1;(13.44227409362793, 196.91456604003906, 63.62517547607422);(0.5223702192306519, 0.4331258535385132);1;2.539581298828125;1;632724998877;(0.5, 0.5)
25346818354;(0.6309760808944702, 0.3163062632083893, 0.46401122212409973);(-55.12617492675781, 61.779659271240234, 626.5584106445312);1;(24.66729736328125, 205.39584350585938, 66.71208190917969);(0.5410506129264832, 0.4064235985279083);1;2.605865478515625;1;(0.4773104190826416, 0.3175792396068573, 0.4642719626426697);(12.530753135681152, 62.36614990234375, 628.9271240234375);1;(12.119921684265137, 195.4193572998047, 63.08096694946289);(0.5201695561408997, 0.4378334581851959);1;2.5262603759765625;1;632725009982;(0.5, 0.5)
25346829458;(0.631256639957428, 0.31634941697120667, 0.46402186155319214);(-55.24906539916992, 61.76361846923828, 626.5545654296875);1;(23.75381851196289, 205.89089965820312, 66.89228820800781);(0.5395303964614868, 0.4048649072647095);1;2.609100341796875;1;(0.4776402711868286, 0.31768670678138733, 0.46428295969963074);(12.385659217834473, 62.330039978027344, 628.9390869140625);1;(12.25246810913086, 196.21380615234375, 63.3701057434082);(0.5203901529312134, 0.4353322982788086);1;2.5172882080078125;1;632725021089;(0.5, 0.5)
25346840561;(0.6314373016357422, 0.31637874245643616, 0.4640628695487976);(-55.329654693603516, 61.754451751708984, 626.5690307617188);1;(23.569477081298828, 207.54278564453125, 67.49351501464844);(0.5392236709594727, 0.39966416358947754);1;2.6053466796875;1;(0.4778671860694885, 0.3177606761455536, 0.4643303155899048);(12.28621768951416, 62.3071403503418, 628.9671630859375);1;(12.557406425476074, 198.36434936523438, 64.15287017822266);(0.5208975672721863, 0.42856132984161377);1;2.5089569091796875;1;632725032195;(0.5, 0.5)
25346851664;(0.6317101120948792, 0.3163778781890869, 0.46411290764808655);(-55.450897216796875, 61.754791259765625, 626.58349609375);1;(21.334129333496094, 207.34365844726562, 67.42102813720703);(0.5355035662651062, 0.40029096603393555);1;2.6125946044921875;1;(0.47815507650375366, 0.3178339898586273, 0.46438267827033997);(12.159873962402344, 62.28445053100586, 628.9981689453125);1;(13.18323040008545, 197.53648376464844, 63.85153579711914);(0.5219390392303467, 0.43116793036460876);1;2.5160675048828125;1;632725043302;(0.5, 0.5)
25346862767;(0.6321728825569153, 0.31633609533309937, 0.46418407559394836);(-55.656028747558594, 61.76787567138672, 626.5999145507812);1;(22.193744659423828, 208.02748107910156, 67.669921875);(0.5369340777397156, 0.3981380760669708);1;2.6151123046875;1;(0.4786553978919983, 0.31793075799942017, 0.4644533693790436);(11.939952850341797, 62.254051208496094, 629.0408935546875);1;(13.790175437927246, 197.81527709960938, 63.953006744384766);(0.5229491591453552, 0.430290162563324);1;2.5157318115234375;1;632725054406;(0.5, 0.5)
25346873870;(0.6324205994606018, 0.3162592649459839, 0.46434155106544495);(-55.771156311035156, 61.79853820800781, 626.6660766601562);1;(21.68069076538086, 206.13015747070312, 66.97937774658203);(0.5360803008079529, 0.4041115641593933);1;2.6191558837890625;1;(0.478953093290329, 0.31793344020843506, 0.46462610363960266);(11.810087203979492, 62.26042175292969, 629.1295166015625);1;(13.114168167114258, 196.32208251953125, 63.409523010253906);(0.5218241810798645, 0.43499135971069336);1;2.5323486328125;1;632725065510;(0.5, 0.5)
25346884973;(0.6327782273292542, 0.31615716218948364, 0.46432995796203613);(-55.92681121826172, 61.82822036743164, 626.6434326171875);1;(21.363513946533203, 202.5156707763672, 65.66381072998047);(0.5355525016784668, 0.4154914319515228);1;2.627777099609375;1;(0.4792792797088623, 0.31790298223495483, 0.4646074175834656);(11.665668487548828, 62.268157958984375, 629.1220703125);1;(12.353484153747559, 196.99716186523438, 63.655235290527344);(0.52055823802948, 0.4328658878803253);1;2.5351104736328125;1;632725076614;(0.5, 0.5)
