device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
7800753068;(0.590050995349884, 0.3693206012248993, 0.4870989918708801);(-37.76616287231445, 45.49431610107422, 640.8275756835938);1;(20.21725082397461, 184.5621337890625, 59.1292724609375);(0.5336449146270752, 0.47201624512672424);1;2.59234619140625;1;(0.449343740940094, 0.3722984790802002, 0.48704272508621216);(25.579662322998047, 45.24570083618164, 641.4189453125);1;(-54.56029510498047, 187.19500732421875, 60.087589263916016);(0.40920230746269226, 0.4637269079685211);1;2.639251708984375;1;1914013616685;(0.25, 0.25)
7800764171;(0.5900792479515076, 0.3693009316921234, 0.4873388707637787);(-37.78591537475586, 45.50918960571289, 640.9457397460938);1;(20.039888381958008, 184.10484313964844, 58.962833404541016);(0.5333497524261475, 0.4734559953212738);1;2.58123779296875;1;(0.44936108589172363, 0.37228813767433167, 0.48726317286491394);(25.576204299926758, 45.25686264038086, 641.5288696289062);1;(-53.8133430480957, 186.88011169433594, 59.97297286987305);(0.4104454517364502, 0.46471840143203735);1;2.6378021240234375;1;1914013627787;(0.25, 0.25)
7800775274;(0.590103268623352, 0.3693046271800995, 0.48765331506729126);(-37.80592346191406, 45.518898010253906, 641.101806640625);1;(18.853038787841797, 183.69374084472656, 58.81319808959961);(0.5313746929168701, 0.47475042939186096);1;2.57684326171875;1;(0.4493950307369232, 0.37228327989578247, 0.48758813738822937);(25.567344665527344, 45.26979446411133, 641.6913452148438);1;(-53.18137741088867, 186.8567352294922, 59.964447021484375);(0.4114971160888672, 0.46479204297065735);1;2.63201904296875;1;1914013638886;(0.25, 0.25)
7800786378;(0.5901036262512207, 0.3693075478076935, 0.487888902425766);(-37.812984466552734, 45.526248931884766, 641.2191772460938);1;(20.603965759277344, 183.82083129882812, 58.859458923339844);(0.5342884659767151, 0.4743502140045166);1;2.5708465576171875;1;(0.449394166469574, 0.37228167057037354, 0.4878292381763458);(25.5725154876709, 45.27880859375, 641.8114013671875);1;(-52.5897331237793, 186.4649658203125, 59.821842193603516);(0.4124816656112671, 0.4660254716873169);1;2.6297149658203125;1;1914013649985;(0.25, 0.25)
7800797481;(0.5900975465774536, 0.3693152964115143, 0.48809266090393066);(-37.816219329833984, 45.530887603759766, 641.3209228515625);1;(21.298961639404297, 180.99307250976562, 57.830238342285156);(0.5354450941085815, 0.48325315117836);1;2.577545166015625;1;(0.44939181208610535, 0.3722875118255615, 0.4880144000053406);(25.577274322509766, 45.28336715698242, 641.90380859375);1;(-53.46827697753906, 186.20684814453125, 59.72788619995117);(0.41101959347724915, 0.4668380320072174);1;2.6212615966796875;1;1914013661082;(0.25, 0.25)
7800808584;(0.5900917649269104, 0.36934319138526917, 0.4884534776210785);(-37.824134826660156, 45.5342903137207, 641.5014038085938);1;(22.235122680664062, 182.17581176757812, 58.260684967041016);(0.5370030403137207, 0.47952938079833984);1;2.5687103271484375;1;(0.4493681490421295, 0.3723002076148987, 0.48839160799980164);(25.595500946044922, 45.29244613647461, 642.0916748046875);1;(-53.977725982666016, 185.65675354003906, 59.52766036987305);(0.410171777009964, 0.4685700535774231);1;2.6151580810546875;1;1914013672178;(0.25, 0.25)
7800819687;(0.5900883078575134, 0.36939021944999695, 0.48858362436294556);(-37.826297760009766, 45.523101806640625, 641.5674438476562);1;(21.542625427246094, 180.92015075683594, 57.80366897583008);(0.5358505845069885, 0.48348262906074524);1;2.5759124755859375;1;(0.4493598937988281, 0.3723185062408447, 0.4885236918926239);(25.60190773010254, 45.290958404541016, 642.1577758789062);1;(-54.16851043701172, 186.56103515625, 59.85676574707031);(0.40985432267189026, 0.4657230079174042);1;2.609375;1;1914013683277;(0.25, 0.25)
7800830790;(0.5900821089744568, 0.36941632628440857, 0.48877406120300293);(-37.829036712646484, 45.5211067199707, 641.6630249023438);1;(22.271753311157227, 182.4492950439453, 58.36021423339844);(0.5370640158653259, 0.4786684513092041);1;2.5545654296875;1;(0.4493564963340759, 0.37233707308769226, 0.48869410157203674);(25.606914520263672, 45.290714263916016, 642.2430419921875);1;(-54.52475357055664, 186.31475830078125, 59.76715087890625);(0.40926146507263184, 0.46649831533432007);1;2.6114959716796875;1;1914013694378;(0.25, 0.25)
7800841893;(0.5900806784629822, 0.3694712817668915, 0.48907360434532166);(-37.837059020996094, 45.513187408447266, 641.8135375976562);1;(22.372926712036133, 181.5852508544922, 58.04573059082031);(0.5372323989868164, 0.48138880729675293);1;2.5520172119140625;1;(0.44934797286987305, 0.3723929524421692, 0.48901379108428955);(25.617345809936523, 45.283145904541016, 642.403564453125);1;(-54.47494888305664, 186.49217224121094, 59.83174514770508);(0.409344345331192, 0.4659397602081299);1;2.6071929931640625;1;1914013705480;(0.25, 0.25)
7800852996;(0.5900850892066956, 0.3695357143878937, 0.4891264736652374);(-37.84041976928711, 45.49335479736328, 641.8412475585938);1;(23.05234146118164, 184.07473754882812, 58.95182800292969);(0.5383630394935608, 0.4735509157180786);1;2.545166015625;1;(0.44935014843940735, 0.3724384903907776, 0.4890672564506531);(25.617652893066406, 45.26967239379883, 642.4313354492188);1;(-54.169498443603516, 186.24249267578125, 59.740882873535156);(0.40985268354415894, 0.4667259752750397);1;2.60748291015625;1;1914013716581;(0.25, 0.25)
7800864099;(0.590164303779602, 0.36954042315483093, 0.48921144008636475);(-37.878475189208984, 45.49421691894531, 641.8816528320312);1;(21.241172790527344, 184.68421936035156, 59.17366027832031);(0.5353489518165588, 0.4716320335865021);1;2.5522308349609375;1;(0.44939351081848145, 0.3724384009838104, 0.4891377091407776);(25.599502563476562, 45.272003173828125, 642.4672241210938);1;(-54.75796127319336, 185.9139404296875, 59.621299743652344);(0.40887337923049927, 0.4677603542804718);1;2.5980987548828125;1;1914013727682;(0.25, 0.25)
7800875203;(0.5904768109321594, 0.369405061006546, 0.4890217185020447);(-38.01353073120117, 45.53089904785156, 641.7757568359375);1;(1.5183591842651367, 193.69850158691406, 62.454647064208984);(0.5025267601013184, 0.443251371383667);1;2.56866455078125;1;(0.44973406195640564, 0.37228161096572876, 0.4889523983001709);(25.441709518432617, 45.31702423095703, 642.3773803710938);1;(-68.41252136230469, 196.08837890625, 63.32451248168945);(0.3861498236656189, 0.435727059841156);1;2.6175079345703125;1;1914013738785;(0.25, 0.25)
7800886306;(0.590822696685791, 0.36905843019485474, 0.48902183771133423);(-38.16961669921875, 45.64509963989258, 641.7584838867188);1;(-21.238914489746094, 205.03411865234375, 66.58048248291016);(0.4646547734737396, 0.40756234526634216);1;2.5574493408203125;1;(0.4502025544643402, 0.37190818786621094, 0.48895445466041565);(25.228979110717773, 45.44111251831055, 642.3779907226562);1;(-89.02064514160156, 208.7201690673828, 67.92210388183594);(0.3518543839454651, 0.3959571421146393);1;2.625457763671875;1;1914013749888;(0.25, 0.25)
7800897409;(0.5913105010986328, 0.3686090409755707, 0.4893856346607208);(-38.40052032470703, 45.8057975769043, 641.9159545898438);1;(-50.660179138183594, 224.0121307373047, 73.48794555664062);(0.4156927764415741, 0.3478119671344757);1;2.5659637451171875;1;(0.4508184790611267, 0.3714529871940613, 0.48932579159736633);(24.956619262695312, 45.60523986816406, 642.5632934570312);1;(-115.92210388183594, 228.7714080810547, 75.22013854980469);(0.30708572268486023, 0.3328278362751007);1;2.6483001708984375;1;1914013760992;(0.25, 0.25)
7800908512;(0.5918323397636414, 0.3680773079395294, 0.49000561237335205);(-38.654685974121094, 46.00315856933594, 642.1979370117188);1;(-80.07406616210938, 245.2323760986328, 81.21145629882812);(0.3667429983615875, 0.2810021638870239);1;2.5706329345703125;1;(0.45204001665115356, 0.37056833505630493, 0.48993968963623047);(24.413686752319336, 45.920494079589844, 642.86962890625);1;(-165.21734619140625, 263.25347900390625, 87.7705078125);(0.22505001723766327, 0.2242646962404251);1;2.6388397216796875;1;1914013772096;(0.25, 0.25)
7800919615;(0.5921637415885925, 0.3678714334964752, 0.4909616708755493);(-38.832786560058594, 46.104270935058594, 642.6600341796875);1;(-91.57231140136719, 258.59283447265625, 86.07429504394531);(0.34760794043540955, 0.2389381378889084);1;2.6010894775390625;1;(0.45239612460136414, 0.37034526467323303, 0.49030250310897827);(24.258941650390625, 46.00725555419922, 643.05126953125);1;(-179.78097534179688, 273.5438537597656, 91.51588439941406);(0.2008136808872223, 0.19186651706695557);1;2.6346435546875;1;1914013783201;(0.25, 0.25)
7800930718;(0.5929862856864929, 0.3673751950263977, 0.49000757932662964);(-39.1746826171875, 46.23145294189453, 642.1509399414062);1;(-121.90943908691406, 275.6500244140625, 92.28253173828125);(0.2971218228340149, 0.18523548543453217);1;2.6440277099609375;1;(0.45272696018218994, 0.37017902731895447, 0.48996996879577637);(24.10274314880371, 46.050167083740234, 642.8872680664062);1;(-194.90548706054688, 281.9573059082031, 94.57815551757812);(0.1756439059972763, 0.1653776615858078);1;2.65545654296875;1;1914013794303;(0.25, 0.25)
7800941821;(0.5929885506629944, 0.36733606457710266, 0.4921547770500183);(-39.24099349975586, 46.321571350097656, 643.2188110351562);1;(-126.27684783935547, 281.6127624511719, 94.4527587890625);(0.28985366225242615, 0.1664622724056244);1;2.5927276611328125;1;(0.4529242217540741, 0.37012630701065063, 0.49197056889533997);(24.05079460144043, 46.13862609863281, 643.886474609375);1;(-205.99188232421875, 287.2346496582031, 96.49900817871094);(0.15719421207904816, 0.1487623155117035);1;2.689544677734375;1;1914013805405;(0.25, 0.25)
7800952924;(0.5929873585700989, 0.36734482645988464, 0.49222448468208313);(-39.242530822753906, 46.32113265991211, 643.2537841796875);1;(-126.0448989868164, 280.80792236328125, 94.15983581542969);(0.29023975133895874, 0.1689963936805725);1;2.593414306640625;1;(0.4529370069503784, 0.37014317512512207, 0.49208325147628784);(24.047197341918945, 46.13689422607422, 643.9432373046875);1;(-201.29904174804688, 286.21954345703125, 96.1295394897461);(0.1650039404630661, 0.1519583910703659);1;2.7166595458984375;1;1914013816506;(0.25, 0.25)
7800964028;(0.5929953455924988, 0.36737173795700073, 0.49289917945861816);(-39.266563415527344, 46.336177825927734, 643.590087890625);1;(-125.70460510253906, 280.74102783203125, 94.13548278808594);(0.29080599546432495, 0.16920685768127441);1;2.6107635498046875;1;(0.4529167413711548, 0.37017586827278137, 0.49283337593078613);(24.070466995239258, 46.1527099609375, 644.3175659179688);1;(-201.35366821289062, 285.3876953125, 95.82676696777344);(0.16491307318210602, 0.15457740426063538);1;2.730194091796875;1;1914013827609;(0.25, 0.25)
7800975131;(0.5929878950119019, 0.36740878224372864, 0.4926833510398865);(-39.256568908691406, 46.316001892089844, 643.4837036132812);1;(-125.01191711425781, 280.3865966796875, 94.00653839111328);(0.29195868968963623, 0.17032264173030853);1;2.620269775390625;1;(0.4528629779815674, 0.3702145218849182, 0.49264049530029297);(24.091341018676758, 46.13297653198242, 644.2213745117188);1;(-201.30059814453125, 285.4244689941406, 95.84015655517578);(0.16500139236450195, 0.1544615924358368);1;2.74310302734375;1;1914013838715;(0.25, 0.25)
7800986234;(0.5929768681526184, 0.3674195110797882, 0.49272143840789795);(-39.25273895263672, 46.3138313293457, 643.5032348632812);1;(-125.48333740234375, 279.3682556152344, 93.6358642578125);(0.2911742329597473, 0.17352890968322754);1;2.62738037109375;1;(0.45281463861465454, 0.37022772431373596, 0.49268287420272827);(24.114023208618164, 46.13021469116211, 644.2420043945312);1;(-202.24266052246094, 284.7722473144531, 95.60274505615234);(0.16343356668949127, 0.15651501715183258);1;2.7447509765625;1;1914013849824;(0.25, 0.25)
7800997337;(0.5929636359214783, 0.36741846799850464, 0.49272266030311584);(-39.24680709838867, 46.314327239990234, 643.504150390625);1;(-125.92157745361328, 279.22052001953125, 93.58209228515625);(0.29044491052627563, 0.1739940643310547);1;2.6317291259765625;1;(0.45278793573379517, 0.3702457845211029, 0.4926850497722626);(24.1262264251709, 46.124298095703125, 644.2431030273438);1;(-200.5320587158203, 285.2146911621094, 95.7637939453125);(0.16628029942512512, 0.15512201189994812);1;2.758026123046875;1;1914013860933;(0.25, 0.25)
7801008440;(0.5929328799247742, 0.3674018383026123, 0.49258849024772644);(-39.228965759277344, 46.315330505371094, 643.4378051757812);1;(-125.59064483642578, 279.34674072265625, 93.62800598144531);(0.29099568724632263, 0.17359675467014313);1;2.656097412109375;1;(0.4527336359024048, 0.3702292740345001, 0.49256640672683716);(24.14847755432129, 46.125850677490234, 644.1826171875);1;(-200.76834106445312, 285.4620666503906, 95.85383605957031);(0.16588710248470306, 0.1543431133031845);1;2.7747650146484375;1;1914013872043;(0.25, 0.25)
7801019543;(0.5929273962974548, 0.36737900972366333, 0.49251672625541687);(-39.22434997558594, 46.320499420166016, 643.4016723632812);1;(-125.57672882080078, 279.9331359863281, 93.84146118164062);(0.29101884365081787, 0.1717505306005478);1;2.667572021484375;1;(0.45271140336990356, 0.3702091872692108, 0.4924914538860321);(24.157014846801758, 46.13005065917969, 644.1444091796875);1;(-201.3347625732422, 285.703369140625, 95.94168090820312);(0.16494451463222504, 0.15358349680900574);1;2.7882080078125;1;1914013883153;(0.25, 0.25)
7801030646;(0.5929131507873535, 0.3673461377620697, 0.4924308955669403);(-39.215415954589844, 46.32860565185547, 643.3585815429688);1;(-126.25972747802734, 279.360107421875, 93.63288116455078);(0.28988221287727356, 0.1735547035932541);1;2.6729278564453125;1;(0.4526815414428711, 0.3701753616333008, 0.4923875629901886);(24.168420791625977, 46.137874603271484, 644.0912475585938);1;(-202.2142791748047, 285.9390563964844, 96.02745819091797);(0.16348087787628174, 0.1528414487838745);1;2.7989044189453125;1;1914013894256;(0.25, 0.25)
7801041749;(0.5928949117660522, 0.36729371547698975, 0.4922039806842804);(-39.200462341308594, 46.338279724121094, 643.2448120117188);1;(-127.15633392333984, 278.8440246582031, 93.44506072998047);(0.2883901596069336, 0.17517949640750885);1;2.6921234130859375;1;(0.4526589512825012, 0.370150625705719, 0.4921840727329254);(24.174707412719727, 46.13905334472656, 643.9888916015625);1;(-201.19259643554688, 285.4259948730469, 95.8406982421875);(0.16518108546733856, 0.15445677936077118);1;2.8239898681640625;1;1914013905359;(0.25, 0.25)
7801052853;(0.5928903222084045, 0.3672769069671631, 0.4921628534793854);(-39.19718933105469, 46.34249496459961, 643.2240600585938);1;(-126.31002044677734, 279.2649230957031, 93.59825897216797);(0.2897984981536865, 0.17385433614253998);1;2.703094482421875;1;(0.45265135169029236, 0.37015047669410706, 0.49214014410972595);(24.17732048034668, 46.13756561279297, 643.9668579101562);1;(-200.33511352539062, 285.3433837890625, 95.81063842773438);(0.166608065366745, 0.1547168493270874);1;2.8303070068359375;1;1914013916464;(0.25, 0.25)
7801063956;(0.5928835272789001, 0.3672679364681244, 0.49215149879455566);(-39.193809509277344, 46.34515380859375, 643.2183227539062);1;(-126.30105590820312, 279.40081787109375, 93.6477279663086);(0.28981345891952515, 0.17342644929885864);1;2.717926025390625;1;(0.4526401460170746, 0.37015706300735474, 0.4921252429485321);(24.18212890625, 46.13486099243164, 643.9594116210938);1;(-200.71324157714844, 284.92962646484375, 95.66002655029297);(0.16597877442836761, 0.15601955354213715);1;2.84075927734375;1;1914013927567;(0.25, 0.25)
7801075059;(0.5928671360015869, 0.3672674298286438, 0.4922712445259094);(-39.19008255004883, 46.3497428894043, 643.2783813476562);1;(-126.36115264892578, 279.0069274902344, 93.5043716430664);(0.28971341252326965, 0.17466649413108826);1;2.75079345703125;1;(0.45261090993881226, 0.370192289352417, 0.49223023653030396);(24.19746971130371, 46.12681198120117, 644.0120239257812);1;(-201.3887481689453, 285.0182800292969, 95.69230651855469);(0.16485463082790375, 0.1557403802871704);1;2.858795166015625;1;1914013938670;(0.25, 0.25)
7801086162;(0.5928546786308289, 0.3672792315483093, 0.4923036992549896);(-39.185428619384766, 46.34701919555664, 643.295166015625);1;(-126.91500091552734, 278.215576171875, 93.21635437011719);(0.2887917459011078, 0.1771579533815384);1;2.7668609619140625;1;(0.45260384678840637, 0.3702143728733063, 0.4922652542591095);(24.201398849487305, 46.12063980102539, 644.0299072265625);1;(-200.958984375, 285.2560729980469, 95.77884674072266);(0.16556985676288605, 0.1549917310476303);1;2.87518310546875;1;1914013949773;(0.25, 0.25)
7801097265;(0.5928404331207275, 0.36729612946510315, 0.49234190583229065);(-39.18012619018555, 46.34278869628906, 643.31494140625);1;(-126.913330078125, 278.4655456542969, 93.30732727050781);(0.28879454731941223, 0.17637105286121368);1;2.777008056640625;1;(0.45258426666259766, 0.3702298700809479, 0.49231114983558655);(24.211185455322266, 46.117122650146484, 644.0528564453125);1;(-200.4222412109375, 284.7761535644531, 95.60417175292969);(0.16646304726600647, 0.15650270879268646);1;2.8911590576171875;1;1914013960876;(0.25, 0.25)
7801108368;(0.5928066372871399, 0.36732226610183716, 0.49238109588623047);(-39.166053771972656, 46.33562469482422, 643.3360595703125);1;(-126.05943298339844, 278.1130065917969, 93.17898559570312);(0.29021552205085754, 0.17748098075389862);1;2.800140380859375;1;(0.45255547761917114, 0.37025633454322815, 0.492344468832016);(24.224931716918945, 46.10947799682617, 644.069580078125);1;(-199.7149658203125, 284.5410461425781, 95.51860046386719);(0.1676400899887085, 0.15724286437034607);1;2.9081573486328125;1;1914013971979;(0.25, 0.25)
7801119471;(0.5927813649177551, 0.3673260509967804, 0.4924107789993286);(-39.15556335449219, 46.33559036254883, 643.3515625);1;(-126.51439666748047, 278.2954406738281, 93.24536895751953);(0.28945839405059814, 0.17690658569335938);1;2.8161163330078125;1;(0.45253679156303406, 0.3702743351459503, 0.49237513542175293);(24.234046936035156, 46.10456848144531, 644.0849609375);1;(-199.69778442382812, 283.7074890136719, 95.21517944335938);(0.1676686853170395, 0.15986739099025726);1;2.9112396240234375;1;1914013983082;(0.25, 0.25)
7801130574;(0.5927894711494446, 0.36734122037887573, 0.4924525022506714);(-39.16044616699219, 46.3319091796875, 643.3724975585938);1;(-127.31354522705078, 278.88446044921875, 93.45974731445312);(0.28812846541404724, 0.17505218088626862);1;2.835968017578125;1;(0.4525406062602997, 0.3702806532382965, 0.4924223721027374);(24.233224868774414, 46.104103088378906, 644.1087036132812);1;(-200.42601013183594, 283.8042907714844, 95.25044250488281);(0.16645678877830505, 0.15956251323223114);1;2.9156646728515625;1;1914013994185;(0.25, 0.25)
