device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
7820538837;(0.5873012542724609, 0.3729279637336731, 0.4871724843978882);(-36.526336669921875, 44.303688049316406, 641.0197143554688);1;(-80.5908203125, 192.7810821533203, 62.120689392089844);(0.36588308215141296, 0.44613978266716003);1;2.764739990234375;1;(0.4467274844646454, 0.3769325613975525, 0.48693200945854187);(26.775270462036133, 43.69266891479492, 641.4222412109375);1;(-151.56101989746094, 203.4039306640625, 65.98709869384766);(0.24777652323246002, 0.41269490122795105);1;2.7796783447265625;1;1914033402607;(0.27019029611437206, 0.7298097038856279)
7820549940;(0.5872896313667297, 0.37292906641960144, 0.4855940043926239);(-36.47636032104492, 44.24907302856445, 640.2339477539062);1;(-83.04009246826172, 192.73756408691406, 62.104854583740234);(0.36180707812309265, 0.44627681374549866);1;2.7565155029296875;1;(0.44674408435821533, 0.37694767117500305, 0.48548057675361633);(26.737655639648438, 43.63825607299805, 640.6995239257812);1;(-155.97100830078125, 203.7355499267578, 66.10780334472656);(0.24043753743171692, 0.4116508364677429);1;2.76898193359375;1;1914033413710;(0.27019029611437206, 0.7298097038856279)
7820561043;(0.5871713161468506, 0.37288832664489746, 0.4851723611354828);(-36.41149139404297, 44.24903869628906, 640.0259399414062);1;(-81.41317749023438, 192.4586181640625, 62.003353118896484);(0.3645145297050476, 0.44715505838394165);1;2.7456207275390625;1;(0.4465976357460022, 0.37697744369506836, 0.4850562810897827);(26.79475975036621, 43.614383697509766, 640.4859008789062);1;(-155.75535583496094, 203.42076110839844, 65.99323272705078);(0.24079643189907074, 0.41264188289642334);1;2.76275634765625;1;1914033424821;(0.27019029611437206, 0.7298097038856279)
7820572146;(0.5872058272361755, 0.3728833496570587, 0.4852282702922821);(-36.42854309082031, 44.25238037109375, 640.0527954101562);1;(-87.05425262451172, 192.81954956054688, 62.13471984863281);(0.35512685775756836, 0.44601884484291077);1;2.7566375732421875;1;(0.44659554958343506, 0.37700730562210083, 0.4851022958755493);(26.796777725219727, 43.60593032836914, 640.509521484375);1;(-160.5823516845703, 203.32223510742188, 65.95738220214844);(0.23276342451572418, 0.4129520058631897);1;2.755157470703125;1;1914033435938;(0.27019029611437206, 0.7298097038856279)
7820583249;(0.5874035358428955, 0.3728905916213989, 0.4859235882759094);(-36.536827087402344, 44.272560119628906, 640.394287109375);1;(-103.39368438720703, 191.68272399902344, 61.7209587097168);(0.32793521881103516, 0.44959795475006104);1;2.747406005859375;1;(0.44679877161979675, 0.37705475091934204, 0.4857753813266754);(26.719709396362305, 43.61204528808594, 640.8499145507812);1;(-175.31991577148438, 204.76856994628906, 66.48380279541016);(0.2082376480102539, 0.40839841961860657);1;2.7483673095703125;1;1914033447058;(0.27019029611437206, 0.7298097038856279)
7820594353;(0.5878458023071289, 0.37293165922164917, 0.4849300682544708);(-36.70646667480469, 44.2215576171875, 639.8893432617188);1;(-135.98507690429688, 192.17599487304688, 61.90049743652344);(0.27369755506515503, 0.44804486632347107);1;2.7370758056640625;1;(0.4473428726196289, 0.37714922428131104, 0.4846789538860321);(26.453073501586914, 43.54106140136719, 640.31591796875);1;(-207.26805114746094, 205.3118133544922, 66.6815185546875);(0.155070498585701, 0.40668806433677673);1;2.748077392578125;1;1914033458181;(0.27019029611437206, 0.7298097038856279)
7820605456;(0.5880671143531799, 0.3729599416255951, 0.48417285084724426);(-36.78378677368164, 44.18450927734375, 639.50732421875);1;(-147.8506317138672, 191.1712646484375, 61.5347900390625);(0.2539512515068054, 0.4512081742286682);1;2.7340087890625;1;(0.44758105278015137, 0.3771906793117523, 0.48397472500801086);(26.331865310668945, 43.50237274169922, 639.9702758789062);1;(-216.68594360351562, 204.74891662597656, 66.47663879394531);(0.1393974870443344, 0.4084602892398834);1;2.75531005859375;1;1914033469301;(0.27019029611437206, 0.7298097038856279)
7820616559;(0.5880882143974304, 0.3730033338069916, 0.4829244315624237);(-36.75735855102539, 44.12688446044922, 638.8861694335938);1;(-148.85745239257812, 191.9304962158203, 61.811119079589844);(0.2522757351398468, 0.44881778955459595);1;2.7383880615234375;1;(0.4476008415222168, 0.3772410750389099, 0.4827686846256256);(26.298480987548828, 43.44453048706055, 639.37060546875);1;(-219.3707275390625, 204.3516845703125, 66.33206939697266);(0.13492953777313232, 0.40971094369888306);1;2.7750091552734375;1;1914033480410;(0.27019029611437206, 0.7298097038856279)
7820627662;(0.5880423784255981, 0.3730486035346985, 0.4831926226615906);(-36.74441909790039, 44.12125015258789, 639.0219116210938);1;(-144.71331787109375, 193.2587432861328, 62.2945556640625);(0.2591722309589386, 0.44463586807250977);1;2.745086669921875;1;(0.4475356638431549, 0.3772895634174347, 0.4830287992954254);(26.333276748657227, 43.437313079833984, 639.5001831054688);1;(-215.844970703125, 204.5367431640625, 66.39945983886719);(0.14079700410366058, 0.40912824869155884);1;2.7823486328125;1;1914033491518;(0.27019029611437206, 0.7298097038856279)
7820638765;(0.5880179405212402, 0.37303870916366577, 0.48365074396133423);(-36.74662780761719, 44.140472412109375, 639.2504272460938);1;(-144.0465087890625, 191.10581970214844, 61.51095962524414);(0.26028192043304443, 0.4514141380786896);1;2.740020751953125;1;(0.4475114047527313, 0.37732818722724915, 0.48345836997032166);(26.353130340576172, 43.438987731933594, 639.7147216796875);1;(-215.61561584472656, 204.15060424804688, 66.2589111328125);(0.14117875695228577, 0.41034409403800964);1;2.787261962890625;1;1914033502627;(0.27019029611437206, 0.7298097038856279)
