device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
2177907263;(0.597829282283783, 0.4556167721748352, 0.6085543036460876);(-49.05094909667969, 21.223363876342773, 702.2462768554688);1;(-0.6371011137962341, 75.61466217041016, 19.47564697265625);(0.4986042082309723, 0.5293288230895996);1;4.1186065673828125;1;(0.4696466028690338, 0.45216938853263855, 0.6088066697120667);(13.962777137756348, 23.110445022583008, 703.8856201171875);1;(-0.3992367684841156, 74.10440826416016, 18.925931930541992);(0.4996114671230316, 0.5414279103279114);1;4.2194061279296875;1;2173791958;(0.275, 0.71875)
2177918366;(0.5979318618774414, 0.4556528627872467, 0.6085567474365234);(-49.101131439208984, 21.209558486938477, 702.2444458007812);1;(-0.5161284804344177, 75.20623779296875, 19.32698631286621);(0.4991165101528168, 0.5326008796691895);1;4.1021728515625;1;(0.46975967288017273, 0.4521578252315521, 0.6088145971298218);(13.907171249389648, 23.1143741607666, 703.8905639648438);1;(-0.9571194648742676, 74.15740203857422, 18.945262908935547);(0.4972490966320038, 0.5410032272338867);1;4.2074737548828125;1;2173803061;(0.2875, 0.703125)
2177929469;(0.5981644988059998, 0.45578688383102417, 0.6087000966072083);(-49.21961212158203, 21.16109275817871, 702.3095092773438);1;(-0.8081711530685425, 74.29145812988281, 18.994020462036133);(0.49787983298301697, 0.5399294495582581);1;4.0723724365234375;1;(0.46995845437049866, 0.4521743655204773, 0.6089576482772827);(13.810791969299316, 23.109804153442383, 703.9641723632812);1;(-1.2216819524765015, 73.83085632324219, 18.826414108276367);(0.49612876772880554, 0.5436192154884338);1;4.1785125732421875;1;2173814164;(0.2875, 0.703125)
2177940572;(0.5982698202133179, 0.45589491724967957, 0.6087118983268738);(-49.27125930786133, 21.12090492248535, 702.31298828125);1;(-2.3932063579559326, 73.73893737792969, 18.79290771484375);(0.49116796255111694, 0.5443557500839233);1;4.0604095458984375;1;(0.47005778551101685, 0.4522165358066559, 0.6089698672294617);(13.762170791625977, 23.09404182434082, 703.9717407226562);1;(-1.5874346494674683, 74.56651306152344, 19.094165802001953);(0.4945800006389618, 0.5377258062362671);1;4.16412353515625;1;2173825267;(0.2875, 0.703125)
2177951675;(0.5983811020851135, 0.4559894800186157, 0.6086916327476501);(-49.32476043701172, 21.085174560546875, 702.3001708984375);1;(-1.3585829734802246, 74.52133178710938, 19.07767105102539);(0.4955490529537201, 0.538087785243988);1;4.0458221435546875;1;(0.4701889753341675, 0.4522809088230133, 0.6089470386505127);(13.697586059570312, 23.069393157958984, 703.9624633789062);1;(-1.1190170049667358, 74.90087127685547, 19.215845108032227);(0.49656349420547485, 0.5350471138954163);1;4.1429595947265625;1;2173836370;(0.3, 0.6875)
2177962778;(0.5986068844795227, 0.456214964389801, 0.6084766983985901);(-49.42709732055664, 20.997690200805664, 702.1878051757812);1;(-1.9501266479492188, 74.93785095214844, 19.22926902770996);(0.4930441677570343, 0.5347509980201721);1;4.0180511474609375;1;(0.47039511799812317, 0.4524627923965454, 0.6087453365325928);(13.594818115234375, 22.998146057128906, 703.8658447265625);1;(-1.9547159671783447, 76.5486831665039, 19.815616607666016);(0.49302470684051514, 0.5218461155891418);1;4.1106414794921875;1;2173847473;(0.3, 0.6875)
2177973882;(0.5988136529922485, 0.4563823938369751, 0.608292818069458);(-49.5213737487793, 20.93217658996582, 702.0909423828125);1;(-8.020760536193848, 73.24076843261719, 18.611608505249023);(0.46733787655830383, 0.5483466982841492);1;4.006622314453125;1;(0.4706077575683594, 0.45256903767585754, 0.6085957288742065);(13.489096641540527, 22.955631256103516, 703.7943725585938);1;(-5.341414928436279, 74.29439544677734, 18.99513053894043);(0.4786836802959442, 0.5399057865142822);1;4.1098175048828125;1;2173858578;(0.3, 0.6875)
2177984985;(0.599044144153595, 0.4565308690071106, 0.6087529063224792);(-49.649925231933594, 20.883081436157227, 702.3140258789062);1;(-17.097320556640625, 69.75665283203125, 17.343507766723633);(0.42890286445617676, 0.5762585997581482);1;4.0067291259765625;1;(0.4709996283054352, 0.45275336503982544, 0.6092745065689087);(13.303308486938477, 22.89706802368164, 704.1395263671875);1;(-16.70452880859375, 71.4122543334961, 17.94611358642578);(0.43056613206863403, 0.562995195388794);1;4.0928497314453125;1;2173869681;(0.3125, 0.671875)
2177996088;(0.5998274683952332, 0.4569697082042694, 0.6086800694465637);(-50.02941131591797, 20.716136932373047, 702.2554931640625);1;(-44.38531494140625, 62.60897445678711, 14.741985321044922);(0.3133508563041687, 0.6335200071334839);1;3.9691619873046875;1;(0.4719250202178955, 0.45307865738868713, 0.6092086434364319);(12.848213195800781, 22.772138595581055, 704.1190185546875);1;(-41.16374969482422, 62.10091018676758, 14.557032585144043);(0.3269926905632019, 0.637590229511261);1;4.05804443359375;1;2173880784;(0.3125, 0.671875)
2178007191;(0.6001554131507874, 0.45711761713027954, 0.6086066961288452);(-50.18682098388672, 20.65880584716797, 702.2091674804688);1;(-52.66798782348633, 59.80312728881836, 13.720704078674316);(0.27827757596969604, 0.655998170375824);1;3.949432373046875;1;(0.47224727272987366, 0.45319274067878723, 0.6091197729110718);(12.689141273498535, 22.727275848388672, 704.0789184570312);1;(-47.988677978515625, 60.679290771484375, 14.039606094360352);(0.2980923354625702, 0.648979127407074);1;4.045440673828125;1;2173891887;(0.3125, 0.671875)
2178018294;(0.6002717614173889, 0.4571645259857178, 0.6075431108474731);(-50.2056770324707, 20.625316619873047, 701.6754150390625);1;(-54.31380081176758, 59.60289764404297, 13.64782428741455);(0.2713083028793335, 0.6576021313667297);1;3.931640625;1;(0.47244763374328613, 0.4532548487186432, 0.6076069474220276);(12.577188491821289, 22.67915916442871, 703.3255004882812);1;(-49.914154052734375, 60.0821533203125, 13.822257995605469);(0.28993886709213257, 0.653762936592102);1;4.0445404052734375;1;2173902990;(0.325, 0.65625)
2178029397;(0.600476861000061, 0.4571651816368103, 0.6073960065841675);(-50.3006477355957, 20.621807098388672, 701.594970703125);1;(-54.86842727661133, 58.85756301879883, 13.37653923034668);(0.26895973086357117, 0.6635732650756836);1;3.9109649658203125;1;(0.47262468934059143, 0.45325273275375366, 0.6074746251106262);(12.48892879486084, 22.67708396911621, 703.2609252929688);1;(-50.22686004638672, 59.26556396484375, 13.525010108947754);(0.2886146605014801, 0.6603049039840698);1;4.021484375;1;2173914098;(0.325, 0.65625)
2178040500;(0.6005883812904358, 0.4571177363395691, 0.6072989702224731);(-50.35178756713867, 20.63723373413086, 701.5421142578125);1;(-54.062049865722656, 59.09069061279297, 13.461406707763672);(0.27237436175346375, 0.6617056131362915);1;3.8901519775390625;1;(0.47266995906829834, 0.45320165157318115, 0.6073880791664124);(12.465717315673828, 22.69432830810547, 703.2174682617188);1;(-50.5788459777832, 60.01818084716797, 13.798944473266602);(0.2871240973472595, 0.6542753577232361);1;4.01763916015625;1;2173925220;(0.325, 0.65625)
2178051603;(0.6006412506103516, 0.4570695757865906, 0.6076341271400452);(-50.389766693115234, 20.65959358215332, 701.7068481445312);1;(-53.864688873291016, 58.157615661621094, 13.121798515319824);(0.2732101082801819, 0.6691806316375732);1;3.8918914794921875;1;(0.47272661328315735, 0.4530999958515167, 0.6078704595565796);(12.44176197052002, 22.739355087280273, 703.4578247070312);1;(-50.98762893676758, 59.92124938964844, 13.763672828674316);(0.2853931188583374, 0.6550519466400146);1;4.0108642578125;1;2173936345;(0.3375, 0.640625)
2178062707;(0.6008098721504211, 0.4568840563297272, 0.6071084141731262);(-50.45378494262695, 20.719215393066406, 701.4368286132812);1;(-52.536678314208984, 56.891780853271484, 12.661069869995117);(0.27883365750312805, 0.6793215274810791);1;3.867828369140625;1;(0.4728168547153473, 0.45293763279914856, 0.6073938012123108);(12.392598152160645, 22.791147232055664, 703.2185668945312);1;(-50.52039337158203, 60.52920150756836, 13.984949111938477);(0.2873716652393341, 0.6501815915107727);1;3.9943084716796875;1;2173947473;(0.3375, 0.640625)
2178073810;(0.6009116172790527, 0.4567902982234955, 0.6069190502166748);(-50.49694061279297, 20.750354766845703, 701.337890625);1;(-51.46299743652344, 56.9713020324707, 12.690011978149414);(0.2833801805973053, 0.6786845326423645);1;3.85528564453125;1;(0.47286054491996765, 0.45283764600753784, 0.6072363257408142);(12.369370460510254, 22.825252532958984, 703.1390380859375);1;(-49.627418518066406, 59.8293342590332, 13.730223655700684);(0.2911529839038849, 0.6557883620262146);1;3.9868621826171875;1;2173958602;(0.3375, 0.640625)
2178084913;(0.6009624600410461, 0.4567497968673706, 0.6068329811096191);(-50.518795013427734, 20.763710021972656, 701.292724609375);1;(-51.30003356933594, 57.431331634521484, 12.857438087463379);(0.28407028317451477, 0.6749991774559021);1;3.85040283203125;1;(0.47290411591529846, 0.4527546465396881, 0.6071057319641113);(12.346490859985352, 22.853559494018555, 703.0731811523438);1;(-49.127044677734375, 59.74677276611328, 13.70016098022461);(0.29327183961868286, 0.6564497351646423);1;3.98077392578125;1;2173969717;(0.35, 0.625)
