device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
2388293362;(0.5377804636955261, 0.41189098358154297, 0.3857933282852173);(-16.58671760559082, 31.689619064331055, 591.8167724609375);1;(-5.468017101287842, 68.33231353759766, 16.82509422302246);(0.4781475067138672, 0.5876691341400146);1;3.389678955078125;1;(0.3942044675350189, 0.41149500012397766, 0.385842889547348);(42.755916595458984, 32.265785217285156, 590.4969482421875);1;(2.939545154571533, 72.85619354248047, 18.47166633605957);(0.5137495994567871, 0.5514272451400757);1;3.35931396484375;1;2384175866;(0.25, 0.25)
2388304465;(0.5379266142845154, 0.4120950698852539, 0.38601964712142944);(-16.649898529052734, 31.631832122802734, 591.9314575195312);1;(-5.603664875030518, 67.43192291259766, 16.497394561767578);(0.47757312655448914, 0.5948823690414429);1;3.3909759521484375;1;(0.3943864107131958, 0.41166794300079346, 0.3861074149608612);(42.69139862060547, 32.21919250488281, 590.6370239257812);1;(3.0866611003875732, 72.848388671875, 18.468814849853516);(0.5143725872039795, 0.5514898896217346);1;3.344879150390625;1;2384186972;(0.25, 0.25)
2388315568;(0.5380818247795105, 0.41221222281455994, 0.386100709438324);(-16.715017318725586, 31.597036361694336, 591.9721069335938);1;(-5.98006534576416, 67.1229248046875, 16.384939193725586);(0.47597917914390564, 0.5973576307296753);1;3.3834075927734375;1;(0.3945286273956299, 0.41174617409706116, 0.3861762583255768);(42.6357536315918, 32.19660568237305, 590.6768188476562);1;(2.7743070125579834, 73.13945007324219, 18.57473373413086);(0.5130499005317688, 0.5491581559181213);1;3.3469390869140625;1;2384198088;(0.25, 0.25)
2388326671;(0.5382978320121765, 0.41233840584754944, 0.386202871799469);(-16.805578231811523, 31.559728622436523, 592.022705078125);1;(-6.959374904632568, 67.47112274169922, 16.511676788330078);(0.4718322455883026, 0.594568133354187);1;3.3751373291015625;1;(0.3947577178478241, 0.41178345680236816, 0.38627442717552185);(42.545284271240234, 32.187278747558594, 590.7330932617188);1;(2.684542417526245, 72.96793365478516, 18.512298583984375);(0.5126698613166809, 0.5505322813987732);1;3.3500213623046875;1;2384209206;(0.25, 0.25)
2388337774;(0.5387684106826782, 0.4125584661960602, 0.3863903880119324);(-17.002544403076172, 31.4945011138916, 592.1144409179688);1;(-6.9965009689331055, 67.80032348632812, 16.631473541259766);(0.4716750979423523, 0.5919309258460999);1;3.3734588623046875;1;(0.3953009247779846, 0.41187670826911926, 0.38648805022239685);(42.33005905151367, 32.163150787353516, 590.8571166992188);1;(2.122929334640503, 73.67654418945312, 18.770187377929688);(0.5102916359901428, 0.5448555946350098);1;3.3483123779296875;1;2384220326;(0.25, 0.25)
2388348877;(0.539165735244751, 0.41272175312042236, 0.38656920194625854);(-17.169281005859375, 31.446945190429688, 592.2017822265625);1;(-7.568940162658691, 68.2140121459961, 16.782039642333984);(0.4692510962486267, 0.5886169075965881);1;3.3712615966796875;1;(0.39563223719596863, 0.4118984639644623, 0.3866375684738159);(42.199283599853516, 32.15980529785156, 590.9417724609375);1;(1.7178444862365723, 73.65888214111328, 18.763774871826172);(0.5085763335227966, 0.5449970960617065);1;3.3491668701171875;1;2384231448;(0.25, 0.25)
2388359981;(0.5397068858146667, 0.4128230810165405, 0.38683971762657166);(-17.397090911865234, 31.420385360717773, 592.33203125);1;(-12.041204452514648, 69.95307922363281, 17.414995193481445);(0.45031309127807617, 0.5746849179267883);1;3.3656768798828125;1;(0.3961336016654968, 0.4119023382663727, 0.3868787884712219);(42.001705169677734, 32.16410446166992, 591.07666015625);1;(-2.4318766593933105, 74.73174285888672, 19.154294967651367);(0.49100416898727417, 0.5364021062850952);1;3.3463287353515625;1;2384242560;(0.25, 0.25)
2388371084;(0.5407283306121826, 0.41292065382003784, 0.38681933283805847);(-17.819618225097656, 31.38519859313965, 592.3111572265625);1;(-25.52060317993164, 76.65873718261719, 19.855632781982422);(0.3932340741157532, 0.520964503288269);1;3.341094970703125;1;(0.3974471390247345, 0.4118019640445709, 0.3868718147277832);(41.46086883544922, 32.19223403930664, 591.1098022460938);1;(-15.588690757751465, 79.02101135253906, 20.71547508239746);(0.4352911710739136, 0.5020397305488586);1;3.348724365234375;1;2384253668;(0.25, 0.25)
2388382187;(0.5413435697555542, 0.41298556327819824, 0.38653746247291565);(-18.069955825805664, 31.3549747467041, 592.1639404296875);1;(-34.90476608276367, 81.47187805175781, 21.607473373413086);(0.35349658131599426, 0.48240551352500916);1;3.3306427001953125;1;(0.3980749547481537, 0.4117721915245056, 0.38662853837013245);(41.194087982177734, 32.19353485107422, 591.0062866210938);1;(-22.77294921875, 82.37120819091797, 21.934833526611328);(0.4048692286014557, 0.4752008020877838);1;3.339508056640625;1;2384264776;(0.25, 0.25)
2388393290;(0.5418747067451477, 0.41311562061309814, 0.3856004774570465);(-18.275144577026367, 31.28764533996582, 591.6918334960938);1;(-38.034019470214844, 83.97937774658203, 22.520122528076172);(0.3402456045150757, 0.46231740713119507);1;3.3212127685546875;1;(0.3986303210258484, 0.41177791357040405, 0.3857879638671875);(40.93669509887695, 32.16780471801758, 590.6036376953125);1;(-26.597434997558594, 84.80741882324219, 22.821500778198242);(0.3886743187904358, 0.45568397641181946);1;3.3354034423828125;1;2384275885;(0.25, 0.25)
