device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
2412620616;(0.5645555853843689, 0.4065508544445038, 0.3679560422897339);(-27.252683639526367, 32.722686767578125, 582.4232177734375);1;(-15.387262344360352, 63.58341979980469, 15.09666633605957);(0.4361441135406494, 0.6257134079933167);1;3.4420318603515625;1;(0.41836822032928467, 0.3987537622451782, 0.3686530888080597);(32.29064178466797, 35.62623977661133, 582.3449096679688);1;(-5.670923709869385, 69.04238891601562, 17.083520889282227);(0.4772883355617523, 0.5819807052612305);1;3.42132568359375;1;2408502928;(0.275, 0.71875)
2412631719;(0.5644910931587219, 0.4070824384689331, 0.36779674887657166);(-27.221670150756836, 32.55653762817383, 582.3541259765625);1;(-14.828363418579102, 63.91622543334961, 15.217756271362305);(0.43851080536842346, 0.6230472922325134);1;3.42340087890625;1;(0.4182932376861572, 0.39931830763816833, 0.36847010254859924);(32.31813049316406, 35.448997497558594, 582.2623901367188);1;(-5.109926700592041, 68.86810302734375, 17.020078659057617);(0.47966381907463074, 0.5833768844604492);1;3.4099578857421875;1;2408514031;(0.2875, 0.703125)
2412642822;(0.5644434094429016, 0.4073476493358612, 0.367776483297348);(-27.201282501220703, 32.47538757324219, 582.3494873046875);1;(-14.575861930847168, 64.43482971191406, 15.406500816345215);(0.4395800232887268, 0.6188926696777344);1;3.4209136962890625;1;(0.4182429015636444, 0.39952993392944336, 0.368446409702301);(32.338722229003906, 35.38396453857422, 582.2532958984375);1;(-5.515887260437012, 68.6453857421875, 16.93901824951172);(0.4779447615146637, 0.585161030292511);1;3.4060211181640625;1;2408525129;(0.2875, 0.703125)
2412653925;(0.5644161105155945, 0.4075459837913513, 0.3676258623600006);(-27.186267852783203, 32.410892486572266, 582.2782592773438);1;(-13.788548469543457, 65.5097427368164, 15.797734260559082);(0.44291388988494873, 0.6102813482284546);1;3.4076080322265625;1;(0.4182318150997162, 0.39970722794532776, 0.36830151081085205);(32.33987045288086, 35.32565689086914, 582.18408203125);1;(-4.115349292755127, 68.58409118652344, 16.916715621948242);(0.4838753938674927, 0.5856520533561707);1;3.4014434814453125;1;2408536223;(0.2875, 0.703125)
2412665028;(0.564330518245697, 0.40776458382606506, 0.36771461367607117);(-27.1530818939209, 32.34714126586914, 582.327880859375);1;(-14.290334701538086, 65.18840789794922, 15.680795669555664);(0.4407891035079956, 0.6128555536270142);1;3.4032745361328125;1;(0.41813212633132935, 0.3999350070953369, 0.36839112639427185);(32.38368225097656, 35.25926208496094, 582.2306518554688);1;(-4.919285297393799, 68.01388549804688, 16.70919418334961);(0.480471134185791, 0.5902200937271118);1;3.391693115234375;1;2408547315;(0.3, 0.6875)
2412676132;(0.5642896890640259, 0.4077967703342438, 0.36764538288116455);(-27.134815216064453, 32.33561325073242, 582.2946166992188);1;(-14.296512603759766, 64.79551696777344, 15.537801742553711);(0.4407629370689392, 0.616003155708313);1;3.3918609619140625;1;(0.41808369755744934, 0.4000095725059509, 0.36832043528556824);(32.401649475097656, 35.23453903198242, 582.1956787109375);1;(-5.098608016967773, 68.15052795410156, 16.758928298950195);(0.47971177101135254, 0.5891254544258118);1;3.3842926025390625;1;2408558407;(0.3, 0.6875)
2412687235;(0.5642790198326111, 0.4078095853328705, 0.36761388182640076);(-27.129703521728516, 32.330875396728516, 582.2793579101562);1;(-15.270180702209473, 62.856666564941406, 14.832112312316895);(0.4366399049758911, 0.6315355896949768);1;3.393585205078125;1;(0.4180651903152466, 0.40005677938461304, 0.368287593126297);(32.40843200683594, 35.21922302246094, 582.1797485351562);1;(-7.051698684692383, 67.8968276977539, 16.66657829284668);(0.4714413583278656, 0.5911579132080078);1;3.3839874267578125;1;2408569497;(0.3, 0.6875)
2412698338;(0.5643852949142456, 0.4079391360282898, 0.367098867893219);(-27.160701751708984, 32.27667236328125, 582.022705078125);1;(-23.70415496826172, 59.7771110534668, 13.711251258850098);(0.4009259343147278, 0.656206488609314);1;3.3853607177734375;1;(0.4182792901992798, 0.4002619683742523, 0.36771461367607117);(32.306453704833984, 35.13905715942383, 581.9027709960938);1;(-15.492876052856445, 64.6576919555664, 15.487600326538086);(0.4356968402862549, 0.6171072125434875);1;3.3753814697265625;1;2408580597;(0.3125, 0.671875)
2412709441;(0.5645925998687744, 0.4080747663974762, 0.36671143770217896);(-27.235654830932617, 32.22370147705078, 581.8279418945312);1;(-34.512611389160156, 55.21601867675781, 12.05115795135498);(0.35515716671943665, 0.6927464008331299);1;3.3751068115234375;1;(0.4185568392276764, 0.40042784810066223, 0.36736512184143066);(32.184852600097656, 35.07746505737305, 581.7379150390625);1;(-24.70168685913086, 61.46980667114258, 14.327310562133789);(0.396701842546463, 0.642646074295044);1;3.362884521484375;1;2408591696;(0.3125, 0.671875)
2412720544;(0.5647879838943481, 0.4082545042037964, 0.36661791801452637);(-27.312484741210938, 32.165496826171875, 581.7806396484375);1;(-43.41108322143555, 52.56874084472656, 11.087648391723633);(0.3174762427806854, 0.7139541506767273);1;3.369354248046875;1;(0.41883060336112976, 0.40058818459510803, 0.3672703802585602);(32.07180404663086, 35.02526092529297, 581.6998291015625);1;(-33.07862854003906, 57.9957160949707, 13.062861442565918);(0.36122938990592957, 0.6704776883125305);1;3.3544921875;1;2408602795;(0.3125, 0.671875)
