device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
2479819268;(0.5651759505271912, 0.39809396862983704, 0.3266911506652832);(-26.549076080322266, 34.04888153076172, 561.6885986328125);1;(-3.93280029296875, 73.45894622802734, 18.6910400390625);(0.4846484959125519, 0.5465986132621765);1;3.319549560546875;1;(0.41430240869522095, 0.39068958163261414, 0.3273569345474243);(32.7115478515625, 36.742549896240234, 561.5277099609375);1;(-5.159361839294434, 71.54756164550781, 17.995344161987305);(0.47945454716682434, 0.5619112849235535);1;3.3166961669921875;1;2475700832;(0.3125, 0.671875)
2479830371;(0.5651135444641113, 0.39797893166542053, 0.3269069790840149);(-26.529878616333008, 34.089481353759766, 561.7952270507812);1;(-2.731835126876831, 72.50211334228516, 18.342775344848633);(0.489734023809433, 0.5542640089988708);1;3.3206024169921875;1;(0.41421937942504883, 0.39064139127731323, 0.3275683522224426);(32.7499885559082, 36.763736724853516, 561.6301879882812);1;(-5.3191609382629395, 72.41419219970703, 18.310775756835938);(0.47877785563468933, 0.5549684166908264);1;3.3154296875;1;2475711935;(0.3125, 0.671875)
2479841474;(0.5649877786636353, 0.39783528447151184, 0.3270816504955292);(-26.484909057617188, 34.13755798339844, 561.882080078125);1;(-2.466280460357666, 72.37840270996094, 18.297752380371094);(0.4908585250377655, 0.5552550554275513);1;3.32049560546875;1;(0.41412782669067383, 0.390542209148407, 0.32771778106689453);(32.7897834777832, 36.797889709472656, 561.7006225585938);1;(-4.702434062957764, 72.0955581665039, 18.1948184967041);(0.48138946294784546, 0.5575211048126221);1;3.313385009765625;1;2475723032;(0.3125, 0.671875)
2479852577;(0.5646893978118896, 0.39760687947273254, 0.3274208903312683);(-26.37615966796875, 34.216331481933594, 562.052490234375);1;(-2.5493903160095215, 72.08897399902344, 18.192386627197266);(0.49050650000572205, 0.5575737357139587);1;3.3109130859375;1;(0.41380342841148376, 0.3903571367263794, 0.3281070590019226);(32.92744064331055, 36.86555480957031, 561.883544921875);1;(-4.076155662536621, 72.15975189208984, 18.218158721923828);(0.4840414226055145, 0.5570068359375);1;3.316986083984375;1;2475734127;(0.3125, 0.671875)
2479863681;(0.5644071102142334, 0.39743688702583313, 0.32752978801727295);(-26.26820945739746, 34.2708854675293, 562.1088256835938);1;(-3.4843409061431885, 71.66270446777344, 18.037256240844727);(0.48654747009277344, 0.56098872423172);1;3.3038787841796875;1;(0.4135604202747345, 0.3902440071105957, 0.3282114267349243);(33.02523422241211, 36.902645111083984, 561.927734375);1;(-4.21018648147583, 72.16998291015625, 18.22186851501465);(0.4834737777709961, 0.5569247603416443);1;3.2999725341796875;1;2475745220;(0.3125, 0.671875)
2479874784;(0.5640982389450073, 0.3973006010055542, 0.327615350484848);(-26.149187088012695, 34.31496810913086, 562.1546020507812);1;(-3.973651647567749, 71.65546417236328, 18.03461265563965);(0.48447543382644653, 0.5610466599464417);1;3.3014678955078125;1;(0.41328486800193787, 0.3902074098587036, 0.3282812535762787);(33.13504409790039, 36.916202545166016, 561.9554443359375);1;(-4.409648895263672, 72.4809799194336, 18.335063934326172);(0.4826291799545288, 0.5544333457946777);1;3.2973175048828125;1;2475756312;(0.3125, 0.671875)
2479885887;(0.563616931438446, 0.3971199095249176, 0.3275773823261261);(-25.95966339111328, 34.36911392211914, 562.1410522460938);1;(-6.893990993499756, 71.14767456054688, 17.849796295166016);(0.4721091687679291, 0.5651147365570068);1;3.2922210693359375;1;(0.4127943217754364, 0.3902340531349182, 0.3282357156276703);(33.325904846191406, 36.9078483581543, 561.9218139648438);1;(-5.708446979522705, 72.4805908203125, 18.33492088317871);(0.47712942957878113, 0.5544365048408508);1;3.2847747802734375;1;2475767405;(0.3125, 0.671875)
2479896990;(0.5634622573852539, 0.39711377024650574, 0.3276502788066864);(-25.900598526000977, 34.373844146728516, 562.1800537109375);1;(-14.992178916931152, 69.89556884765625, 17.394052505493164);(0.4378170669078827, 0.5751455426216125);1;3.2862396240234375;1;(0.41267988085746765, 0.3903689682483673, 0.32830309867858887);(33.37321472167969, 36.870662689208984, 561.955322265625);1;(-11.76587200164795, 70.52692413330078, 17.62384605407715);(0.4514790177345276, 0.5700876116752625);1;3.292877197265625;1;2475778505;(0.3125, 0.671875)
2479908093;(0.5634684562683105, 0.3971261978149414, 0.3286445438861847);(-25.925851821899414, 34.40047073364258, 562.67578125);1;(-24.813426971435547, 67.27776336669922, 16.44125747680664);(0.39622870087623596, 0.5961174368858337);1;3.28680419921875;1;(0.4126906096935272, 0.39053875207901, 0.3292267918586731);(33.39696502685547, 36.85093307495117, 562.4188232421875);1;(-21.548337936401367, 68.6661605834961, 16.946550369262695);(0.4100548028945923, 0.5849946737289429);1;3.2870330810546875;1;2475789604;(0.3125, 0.671875)
2479919196;(0.5634762048721313, 0.3972371220588684, 0.3294929265975952);(-25.94818115234375, 34.39364242553711, 563.1006469726562);1;(-43.64291000366211, 62.82904815673828, 14.822073936462402);(0.31649455428123474, 0.6317568421363831);1;3.2742767333984375;1;(0.412797749042511, 0.3908807635307312, 0.3300991356372833);(33.382041931152344, 36.778629302978516, 562.8623046875);1;(-42.011295318603516, 61.81974411010742, 14.454684257507324);(0.3234037160873413, 0.6398425698280334);1;3.3047027587890625;1;2475800704;(0.3125, 0.671875)
