device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
2884013707;(0.5914816856384277, 0.39789560437202454, 0.301472544670105);(-36.02976989746094, 33.22068405151367, 548.5513916015625);1;(-16.636768341064453, 91.38662719726562, 25.21613883972168);(0.43085306882858276, 0.4029766321182251);1;3.0818634033203125;1;(0.43660542368888855, 0.39534908533096313, 0.30186158418655396);(23.445411682128906, 34.527198791503906, 549.3477172851562);1;(17.89525032043457, 102.51161193847656, 29.26529884338379);(0.5770801305770874, 0.3138521909713745);1;2.936798095703125;1;2879890489;(0.75, 0.75)
2884024810;(0.5910133719444275, 0.39798876643180847, 0.3015810549259186);(-35.85408020019531, 33.19950485229492, 548.6187133789062);1;(-15.406168937683105, 90.96403503417969, 25.062332153320312);(0.43606406450271606, 0.4063621461391449);1;3.0793914794921875;1;(0.43612879514694214, 0.39547473192214966, 0.3019665479660034);(23.630897521972656, 34.49552917480469, 549.3944091796875);1;(19.394304275512695, 100.22713470458984, 28.43381118774414);(0.5834278464317322, 0.3321535885334015);1;2.9336700439453125;1;2879901592;(0.75, 0.75)
2884035913;(0.5899457335472107, 0.3983461856842041, 0.3012237548828125);(-35.43369674682617, 33.091400146484375, 548.4732055664062);1;(-14.574214935302734, 89.75149536132812, 24.621002197265625);(0.4395870268344879, 0.41607606410980225);1;3.0680694580078125;1;(0.43503284454345703, 0.39591264724731445, 0.3015827536582947);(24.044300079345703, 34.36036682128906, 549.1925048828125);1;(20.759017944335938, 97.95752716064453, 27.60777473449707);(0.5892068147659302, 0.3503358066082001);1;2.9246368408203125;1;2879912697;(0.75, 0.75)
2884047016;(0.5896259546279907, 0.3985532820224762, 0.30110302567481995);(-35.3072395324707, 33.029930114746094, 548.4244384765625);1;(-14.791340827941895, 89.20684814453125, 24.42275619506836);(0.43866753578186035, 0.4204392731189728);1;3.0559539794921875;1;(0.43475276231765747, 0.3961527645587921, 0.3014674186706543);(24.14995002746582, 34.28849411010742, 549.134521484375);1;(20.60294532775879, 97.49922180175781, 27.440963745117188);(0.5885459780693054, 0.3540074825286865);1;2.9182281494140625;1;2879923803;(0.75, 0.75)
2884058119;(0.5893713235855103, 0.3988038897514343, 0.30088502168655396);(-35.2025260925293, 32.9527473449707, 548.326416015625);1;(-14.025712966918945, 89.12084197998047, 24.39145278930664);(0.4419096112251282, 0.4211283028125763);1;3.03955078125;1;(0.43449458479881287, 0.39651525020599365, 0.3012407124042511);(24.245149612426758, 34.17802810668945, 549.0234985351562);1;(21.233484268188477, 97.6679916381836, 27.502395629882812);(0.5912160277366638, 0.3526553809642792);1;2.915435791015625;1;2879934910;(0.75, 0.75)
2884069222;(0.5887094736099243, 0.3996683657169342, 0.3007364571094513);(-34.94343948364258, 32.70359420776367, 548.2833251953125);1;(-13.709151268005371, 89.65088653564453, 24.5843563079834);(0.4432501196861267, 0.4168820083141327);1;3.026947021484375;1;(0.43383195996284485, 0.39771363139152527, 0.3010721504688263);(24.499401092529297, 33.830474853515625, 548.94921875);1;(21.09465789794922, 97.33699035644531, 27.381887435913086);(0.5906281471252441, 0.3553071618080139);1;2.9026947021484375;1;2879946017;(0.75, 0.75)
2884080325;(0.5885319113731384, 0.4000224173069, 0.3006492853164673);(-34.872257232666016, 32.60033416748047, 548.250244140625);1;(-12.869353294372559, 89.84382629394531, 24.654582977294922);(0.44680631160736084, 0.4153362810611725);1;3.03692626953125;1;(0.4336584210395813, 0.39819222688674927, 0.3009847402572632);(24.565553665161133, 33.69086456298828, 548.9110107421875);1;(21.054590225219727, 98.07334899902344, 27.649904251098633);(0.5904585719108582, 0.3494080603122711);1;2.891632080078125;1;2879957125;(0.75, 0.75)
2884091429;(0.5883516669273376, 0.40040144324302673, 0.30061206221580505);(-34.80159378051758, 32.491397857666016, 548.2425537109375);1;(-12.836151123046875, 90.23603820800781, 24.797327041625977);(0.446946918964386, 0.41219422221183777);1;3.039581298828125;1;(0.4334908425807953, 0.3987131118774414, 0.3009377419948578);(24.630456924438477, 33.54036331176758, 548.8937377929688);1;(21.71852684020996, 98.94391632080078, 27.966760635375977);(0.5932700037956238, 0.34243378043174744);1;2.879638671875;1;2879968230;(0.75, 0.75)
2884102532;(0.5878929495811462, 0.40135735273361206, 0.30044764280319214);(-34.61957931518555, 32.21464157104492, 548.1878662109375);1;(-12.487933158874512, 88.5072250366211, 24.168119430541992);(0.4484214782714844, 0.4260439872741699);1;3.0325164794921875;1;(0.4331124424934387, 0.40025070309638977, 0.3007465898990631);(24.776321411132812, 33.09428405761719, 548.8184204101562);1;(22.753219604492188, 99.65265655517578, 28.224746704101562);(0.5976514220237732, 0.3367558419704437);1;2.8684539794921875;1;2879979334;(0.75, 0.75)
2884113635;(0.5877482295036316, 0.4016815721988678, 0.300412118434906);(-34.5626335144043, 32.12132263183594, 548.1791381835938);1;(-11.811779022216797, 87.75768280029297, 23.895315170288086);(0.45128464698791504, 0.4320487380027771);1;3.0253143310546875;1;(0.4330093562602997, 0.4007139801979065, 0.30070337653160095);(24.816402435302734, 32.960304260253906, 548.8030395507812);1;(22.915969848632812, 99.4181137084961, 28.13936424255371);(0.5983405709266663, 0.338634729385376);1;2.8629302978515625;1;2879990439;(0.75, 0.75)
