device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
3054415762;(0.6532719731330872, 0.3970104455947876, 0.2919284701347351);(-59.026268005371094, 32.85527420043945, 541.7687377929688);1;(-9.592674255371094, 81.9894027709961, 21.79584312438965);(0.4606815278530121, 0.4782595634460449);1;2.8985595703125;1;(0.4957399368286133, 0.3917236328125, 0.2925221025943756);(0.7058283686637878, 35.10091018676758, 545.1317138671875);1;(-12.074570655822754, 84.40039825439453, 22.67335319519043);(0.45017188787460327, 0.45894476771354675);1;2.923309326171875;1;3050290533;(0.75, 0.25)
3054426865;(0.6529941558837891, 0.3969045579433441, 0.2919185757637024);(-58.92159652709961, 32.88658905029297, 541.7732543945312);1;(-9.327923774719238, 82.27903747558594, 21.901247024536133);(0.4618026614189148, 0.47593939304351807);1;2.9053192138671875;1;(0.49544209241867065, 0.39156603813171387, 0.29251185059547424);(0.8190087676048279, 35.14645767211914, 545.1234741210938);1;(-11.913901329040527, 83.8380355834961, 22.46867561340332);(0.4508521556854248, 0.4634498357772827);1;2.9275665283203125;1;3050301636;(0.75, 0.25)
3054437968;(0.6526800394058228, 0.39679956436157227, 0.2919105291366577);(-58.80345916748047, 32.91791915893555, 541.7801513671875);1;(-9.366535186767578, 82.46949005126953, 21.9705753326416);(0.4616391658782959, 0.4744136333465576);1;2.9098052978515625;1;(0.49512386322021484, 0.39145374298095703, 0.2925122082233429);(0.9400892853736877, 35.17951583862305, 545.121337890625);1;(-12.021668434143066, 83.81312561035156, 22.459613800048828);(0.4503958523273468, 0.4636494219303131);1;2.9180755615234375;1;3050312738;(0.75, 0.25)
3054449071;(0.6515804529190063, 0.3965177536010742, 0.29150390625);(-58.36947250366211, 32.99186325073242, 541.61767578125);1;(-9.795243263244629, 81.84634399414062, 21.743751525878906);(0.45982375741004944, 0.47940585017204285);1;2.8964691162109375;1;(0.4941348433494568, 0.3912510573863983, 0.2921398878097534);(1.3163082599639893, 35.228511810302734, 544.9308471679688);1;(-11.822309494018555, 83.62542724609375, 22.39128303527832);(0.45124006271362305, 0.46515315771102905);1;2.9026947021484375;1;3050323840;(0.75, 0.25)
3054460174;(0.6511922478675842, 0.3964633643627167, 0.29136377573013306);(-58.21648025512695, 33.00527572631836, 541.562744140625);1;(-9.905025482177734, 81.73693084716797, 21.703927993774414);(0.45935875177383423, 0.48028209805488586);1;2.884368896484375;1;(0.4937075972557068, 0.3912450969219208, 0.2919822931289673);(1.4789711236953735, 35.22652053833008, 544.8515625);1;(-11.739740371704102, 84.28436279296875, 22.63111686706543);(0.4515897035598755, 0.4598742723464966);1;2.888092041015625;1;3050334943;(0.75, 0.25)
3054471278;(0.6507338285446167, 0.396455854177475, 0.29133141040802);(-58.04286575317383, 33.009071350097656, 541.5648803710938);1;(-8.800698280334473, 81.85386657714844, 21.74647331237793);(0.46403512358665466, 0.4793454706668854);1;2.878204345703125;1;(0.4932021498680115, 0.3912656605243683, 0.29194849729537964);(1.6716456413269043, 35.221229553222656, 544.8344116210938);1;(-9.851218223571777, 84.1815414428711, 22.59369468688965);(0.4595866799354553, 0.4606979787349701);1;2.8796539306640625;1;3050346046;(0.75, 0.25)
3054482381;(0.6489770412445068, 0.39635714888572693, 0.29119420051574707);(-57.37680435180664, 33.042991638183594, 541.5646362304688);1;(7.536081314086914, 85.2508316040039, 22.98289680480957);(0.5332138538360596, 0.45213159918785095);1;2.8827667236328125;1;(0.49163857102394104, 0.3913831114768982, 0.2918179929256439);(2.267711639404297, 35.188655853271484, 544.7689819335938);1;(6.656413555145264, 87.6547622680664, 23.85784912109375);(0.5294888019561768, 0.4328732490539551);1;2.8634033203125;1;3050357148;(0.75, 0.25)
3054493484;(0.6482136845588684, 0.3963138163089752, 0.29114317893981934);(-57.087799072265625, 33.0580940246582, 541.5685424804688);1;(17.78840446472168, 88.0116958618164, 23.987777709960938);(0.5766276121139526, 0.4300137758255005);1;2.8796539306640625;1;(0.49088943004608154, 0.39144107699394226, 0.2917611002922058);(2.5532610416412354, 35.17273712158203, 544.740234375);1;(19.864580154418945, 90.6556625366211, 24.950077056884766);(0.585419237613678, 0.4088324010372162);1;2.860382080078125;1;3050368251;(0.75, 0.25)
3054504587;(0.6473519206047058, 0.3963014483451843, 0.29085278511047363);(-56.74941635131836, 33.05773162841797, 541.4578857421875);1;(29.921228408813477, 93.35914611816406, 25.934101104736328);(0.6280044317245483, 0.38717415928840637);1;2.8791656494140625;1;(0.4902135729789734, 0.39164793491363525, 0.29148510098457336);(2.810673713684082, 35.107147216796875, 544.6049194335938);1;(34.3817138671875, 97.1797866821289, 27.32466697692871);(0.6468925476074219, 0.3565663695335388);1;2.8799591064453125;1;3050379354;(0.75, 0.25)
3054515690;(0.6456896662712097, 0.3963310718536377, 0.2891591787338257);(-56.03864669799805, 33.00749969482422, 540.6820678710938);1;(52.19603729248047, 101.33880615234375, 28.838441848754883);(0.7223278880119324, 0.32324764132499695);1;2.8705291748046875;1;(0.4888182282447815, 0.39218878746032715, 0.2898327708244324);(3.3387222290039062, 34.90475082397461, 543.7870483398438);1;(54.25360107421875, 109.49286651611328, 31.806262969970703);(0.7310408353805542, 0.2579239010810852);1;2.8660888671875;1;3050390457;(0.75, 0.25)
