device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
3073812921;(0.6476884484291077, 0.4047413766384125, 0.30172374844551086);(-57.43522262573242, 30.97018051147461, 546.9833984375);1;(-4.438943862915039, 75.77103424072266, 19.532550811767578);(0.4825051724910736, 0.5280761122703552);1;2.931396484375;1;(0.49226105213165283, 0.3997751772403717, 0.3023795187473297);(2.0726161003112793, 33.113704681396484, 550.1902465820312);1;(-7.714642524719238, 77.22378540039062, 20.061275482177734);(0.46863415837287903, 0.5164381265640259);1;2.9640350341796875;1;3069687454;(0.275, 0.71875)
3073824024;(0.6474079489707947, 0.4045170843601227, 0.30155980587005615);(-57.32061767578125, 31.031341552734375, 546.909423828125);1;(-4.514318943023682, 76.54142761230469, 19.812938690185547);(0.4821860194206238, 0.521904468536377);1;2.9286041259765625;1;(0.49197134375572205, 0.3997199833393097, 0.30219849944114685);(2.183631658554077, 33.125083923339844, 550.0984497070312);1;(-7.082528114318848, 77.04816436767578, 19.997352600097656);(0.4713107943534851, 0.5178448557853699);1;2.9548187255859375;1;3069698557;(0.2875, 0.703125)
3073835128;(0.6465580463409424, 0.40376928448677063, 0.3012833297252655);(-56.984954833984375, 31.242298126220703, 546.7932739257812);1;(-5.175405502319336, 76.60639953613281, 19.83654022216797);(0.4793865978717804, 0.5213841795921326);1;2.9121551513671875;1;(0.49119600653648376, 0.399440735578537, 0.30191150307655334);(2.480616569519043, 33.199302673339844, 549.948974609375);1;(-6.955471992492676, 76.61571502685547, 19.839921951293945);(0.47184884548187256, 0.5213094353675842);1;2.9356536865234375;1;3069709660;(0.2875, 0.703125)
3073846231;(0.6462855339050293, 0.4035443663597107, 0.30112510919570923);(-56.873756408691406, 31.30369758605957, 546.7216796875);1;(-5.1694512367248535, 76.77680969238281, 19.898563385009766);(0.4794118106365204, 0.5200188755989075);1;2.9068603515625;1;(0.490888774394989, 0.399310439825058, 0.3017137348651886);(2.598013162612915, 33.231815338134766, 549.847412109375);1;(-6.571281909942627, 75.7812728881836, 19.53621482849121);(0.47347569465637207, 0.5279942154884338);1;2.9310455322265625;1;3069720762;(0.2875, 0.703125)
3073857334;(0.6460227370262146, 0.40332531929016113, 0.301058828830719);(-56.770992279052734, 31.365951538085938, 546.6954345703125);1;(-4.955973148345947, 76.89447784423828, 19.94139862060547);(0.48031577467918396, 0.5190761685371399);1;2.887786865234375;1;(0.4905793070793152, 0.3991892337799072, 0.30161866545677185);(2.7165043354034424, 33.26480484008789, 549.7972412109375);1;(-6.754942417144775, 76.01101684570312, 19.619834899902344);(0.47269800305366516, 0.5261537432670593);1;2.935638427734375;1;3069731864;(0.3, 0.6875)
3073868437;(0.6453077793121338, 0.40273234248161316, 0.30044054985046387);(-56.468963623046875, 31.521888732910156, 546.4064331054688);1;(-4.298374176025391, 76.45130157470703, 19.78013038635254);(0.48310044407844543, 0.5226264595985413);1;2.877960205078125;1;(0.4898833632469177, 0.39899808168411255, 0.30103638768196106);(2.98210072517395, 33.304405212402344, 549.5017700195312);1;(-6.94661808013916, 76.53225708007812, 19.809581756591797);(0.4718863070011139, 0.5219778418540955);1;2.9254150390625;1;3069742966;(0.3, 0.6875)
3073879540;(0.6450769305229187, 0.4025718867778778, 0.30031895637512207);(-56.3754768371582, 31.565582275390625, 546.3523559570312);1;(-4.013930797576904, 76.18363189697266, 19.682714462280273);(0.48430493474006653, 0.5247707366943359);1;2.8680267333984375;1;(0.4895959198474884, 0.3989424705505371, 0.3008849024772644);(3.0920262336730957, 33.31673049926758, 549.424560546875);1;(-7.076840877532959, 77.0541000366211, 19.999515533447266);(0.47133496403694153, 0.5177974104881287);1;2.9186553955078125;1;3069754068;(0.3, 0.6875)
3073890643;(0.6448708176612854, 0.4024813175201416, 0.30018773674964905);(-56.29081344604492, 31.588855743408203, 546.2936401367188);1;(-4.70247220993042, 75.24047088623047, 19.33942413330078);(0.48138925433158875, 0.5323266386985779);1;2.881103515625;1;(0.48933640122413635, 0.39892977476119995, 0.3007282614707947);(3.1912930011749268, 33.31647872924805, 549.3455200195312);1;(-8.830207824707031, 76.12470245361328, 19.66124725341797);(0.4639102518558502, 0.5252429246902466);1;2.9114990234375;1;3069765171;(0.3125, 0.671875)
3073901746;(0.6444258093833923, 0.40251868963241577, 0.2999924421310425);(-56.11233139038086, 31.575054168701172, 546.2144775390625);1;(-21.310897827148438, 69.72298431396484, 17.331199645996094);(0.41106030344963074, 0.5765284299850464);1;2.8675384521484375;1;(0.4890376925468445, 0.39918169379234314, 0.30052465200424194);(3.3061699867248535, 33.23893737792969, 549.24755859375);1;(-23.076740264892578, 71.15550994873047, 17.85263442993164);(0.40358278155326843, 0.5650520324707031);1;2.9007720947265625;1;3069776273;(0.3125, 0.671875)
3073912849;(0.6443886160850525, 0.40261614322662354, 0.29992395639419556);(-56.09466552734375, 31.545452117919922, 546.1835327148438);1;(-30.48092269897461, 65.3056411743164, 15.723405838012695);(0.3722294867038727, 0.6119166612625122);1;2.8608245849609375;1;(0.4890861511230469, 0.39932766556739807, 0.30043724179267883);(3.287684917449951, 33.19422149658203, 549.2066040039062);1;(-33.18634033203125, 66.15119934082031, 16.031211853027344);(0.36077332496643066, 0.6051425933837891);1;2.8954620361328125;1;3069787376;(0.3125, 0.671875)
