device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
3470311862;(0.5310683250427246, 0.5179420113563538, 0.503465473651886);(-14.871041297912598, -1.3473855257034302, 651.5616455078125);1;(-5.747485160827637, 84.88129425048828, 22.848386764526367);(0.4769641160964966, 0.4550921618938446);1;3.2861480712890625;1;(0.39868155121803284, 0.5220970511436462, 0.5034339427947998);(45.37791442871094, -2.2149155139923096, 650.1314697265625);1;(-0.9071741700172424, 81.01868438720703, 21.442508697509766);(0.49746057391166687, 0.4860363006591797);1;3.2569427490234375;1;3466182312;(0.25, 0.75)
3470322965;(0.5309871435165405, 0.5179562568664551, 0.5035881400108337);(-14.835392951965332, -1.3520374298095703, 651.623779296875);1;(-5.569606304168701, 84.1935806274414, 22.59807586669922);(0.4777173399925232, 0.4606015682220459);1;3.28802490234375;1;(0.398616224527359, 0.5221777558326721, 0.503575325012207);(45.41263961791992, -2.2424023151397705, 650.1998291015625);1;(-1.4828534126281738, 80.99624633789062, 21.4343204498291);(0.49502286314964294, 0.48621609807014465);1;3.25604248046875;1;3466193415;(0.25, 0.75)
3470334068;(0.5308064222335815, 0.5181131958961487, 0.5037615895271301);(-14.754494667053223, -1.4051594734191895, 651.7122802734375);1;(-6.422287464141846, 85.63928985595703, 23.12430191040039);(0.47410663962364197, 0.4490196406841278);1;3.270294189453125;1;(0.3984999358654022, 0.5223129987716675, 0.5037513375282288);(45.471797943115234, -2.2883408069610596, 650.2837524414062);1;(-2.50776743888855, 81.04930114746094, 21.45368766784668);(0.49068284034729004, 0.4857909381389618);1;3.2504730224609375;1;3466204519;(0.25, 0.75)
3470345171;(0.530765175819397, 0.5181735157966614, 0.5037492513656616);(-14.735377311706543, -1.4256116151809692, 651.70654296875);1;(-5.834859848022461, 86.46403503417969, 23.42447280883789);(0.47659409046173096, 0.442412406206131);1;3.26715087890625;1;(0.3984847962856293, 0.5223498940467834, 0.5037420392036438);(45.478431701660156, -2.3008415699005127, 650.2786254882812);1;(-3.300413131713867, 81.37257385253906, 21.571361541748047);(0.4873262643814087, 0.4832010567188263);1;3.2484130859375;1;3466215626;(0.25, 0.75)
3470356274;(0.5307250618934631, 0.5182191133499146, 0.503805935382843);(-14.71760368347168, -1.441087245941162, 651.7352294921875);1;(-6.00615119934082, 86.7589111328125, 23.531801223754883);(0.4758687913417816, 0.4400501549243927);1;3.2577667236328125;1;(0.3984840214252472, 0.5223626494407654, 0.5038021206855774);(45.48089599609375, -2.3053011894226074, 650.3085327148438);1;(-3.050705909729004, 81.71792602539062, 21.69707489013672);(0.4883837103843689, 0.4804343581199646);1;3.2407684326171875;1;3466226732;(0.25, 0.75)
3470367377;(0.5306944847106934, 0.5182284712791443, 0.5037519335746765);(-14.703009605407715, -1.4441019296646118, 651.70849609375);1;(-5.319520950317383, 86.5974349975586, 23.473012924194336);(0.47877636551856995, 0.44134384393692017);1;3.241943359375;1;(0.39851218461990356, 0.5223561525344849, 0.5037466883659363);(45.46620178222656, -2.3031129837036133, 650.28173828125);1;(-2.7982945442199707, 81.82437896728516, 21.73577117919922);(0.4894525408744812, 0.4795816242694855);1;3.2322540283203125;1;3466237839;(0.25, 0.75)
3470378481;(0.5306846499443054, 0.5181913375854492, 0.5037832260131836);(-14.698980331420898, -1.431409478187561, 651.7242431640625);1;(-5.14808464050293, 86.04159545898438, 23.27073860168457);(0.47950226068496704, 0.44579648971557617);1;3.2286376953125;1;(0.39853140711784363, 0.5223175883293152, 0.5037720799446106);(45.45830154418945, -2.290083885192871, 650.2951049804688);1;(-1.9783328771591187, 81.56220245361328, 21.640336990356445);(0.4929247200489044, 0.48168206214904785);1;3.225921630859375;1;3466248947;(0.25, 0.75)
3470389584;(0.5306963920593262, 0.5181333422660828, 0.5037389993667603);(-14.704029083251953, -1.411561369895935, 651.7020874023438);1;(-4.330611705780029, 86.04660034179688, 23.272560119628906);(0.4829639494419098, 0.4457565248012543);1;3.2139434814453125;1;(0.39855411648750305, 0.5222222208976746, 0.5037282705307007);(45.44619369506836, -2.2575714588165283, 650.2741088867188);1;(-2.2141072750091553, 81.14875030517578, 21.489852905273438);(0.49192631244659424, 0.4849942624568939);1;3.22540283203125;1;3466260051;(0.25, 0.75)
3470400687;(0.530708909034729, 0.5179241895675659, 0.5038806200027466);(-14.711989402770996, -1.3402478694915771, 651.7728881835938);1;(-4.416500091552734, 84.34574127197266, 22.653499603271484);(0.48260021209716797, 0.45938241481781006);1;3.204833984375;1;(0.3986515402793884, 0.5219945311546326, 0.5038720965385437);(45.40644454956055, -2.180544137954712, 650.3492431640625);1;(-1.9126306772232056, 79.87138366699219, 21.024959564208984);(0.49320289492607117, 0.4952273666858673);1;3.2040252685546875;1;3466271156;(0.25, 0.75)
3470411790;(0.5307344198226929, 0.51784348487854, 0.5040026903152466);(-14.725236892700195, -1.312854290008545, 651.833740234375);1;(-4.793156623840332, 84.85709381103516, 22.839601516723633);(0.4810051918029785, 0.45528581738471985);1;3.201141357421875;1;(0.3986928164958954, 0.5219138860702515, 0.5039728879928589);(45.39105224609375, -2.153395891189575, 650.4009399414062);1;(-2.0821893215179443, 79.98770904541016, 21.06731414794922);(0.4924848973751068, 0.4942953586578369);1;3.2134857177734375;1;3466282260;(0.25, 0.75)
