device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
3386905187;(0.5266795754432678, 0.50383061170578, 0.5324758291244507);(-13.201993942260742, 3.5737414360046387, 666.0975341796875);1;(7.835115432739258, 101.77599334716797, 28.99759864807129);(0.5344801545143127, 0.3197453022003174);1;2.860931396484375;1;(0.397103875875473, 0.5060555338859558, 0.532427966594696);(47.06645202636719, 3.3346445560455322, 664.5409545898438);1;(1.011671781539917, 81.31249237060547, 21.549509048461914);(0.5055859684944153, 0.4836822748184204);1;2.8623046875;1;3382776525;(0.5, 0.5)
3386916290;(0.5265692472457886, 0.5038420557975769, 0.5324775576591492);(-13.150591850280762, 3.570209264755249, 666.099365234375);1;(8.180967330932617, 102.37866973876953, 29.21695899963379);(0.5359446406364441, 0.31491711735725403);1;2.8490447998046875;1;(0.3969968557357788, 0.5061083436012268, 0.53244948387146);(47.11685562133789, 3.31671404838562, 664.5482788085938);1;(1.6674422025680542, 81.46956634521484, 21.60666275024414);(0.508362889289856, 0.48242396116256714);1;2.849884033203125;1;3382787626;(0.5, 0.5)
3386927393;(0.5264481902122498, 0.5038309693336487, 0.5329698324203491);(-13.099041938781738, 3.5759201049804688, 666.3466186523438);1;(9.908793449401855, 101.39839172363281, 28.860170364379883);(0.5432611703872681, 0.32277026772499084);1;2.843963623046875;1;(0.3968099355697632, 0.5062212944030762, 0.5329520106315613);(47.22142791748047, 3.279336929321289, 664.79296875);1;(0.4878407418727875, 83.07683563232422, 22.191675186157227);(0.5033677816390991, 0.469547837972641);1;2.8348541259765625;1;3382798723;(0.5, 0.5)
3386938496;(0.5264521837234497, 0.503819465637207, 0.5328768491744995);(-13.100048065185547, 3.5796773433685303, 666.300048828125);1;(10.591161727905273, 101.97978973388672, 29.071781158447266);(0.5461507439613342, 0.31811270117759705);1;2.8497467041015625;1;(0.39680415391921997, 0.5062297582626343, 0.5328890085220337);(47.2219123840332, 3.276252508163452, 664.7613525390625);1;(-0.030015628784894943, 82.58052825927734, 22.011011123657227);(0.5011749863624573, 0.4735238254070282);1;2.832977294921875;1;3382809819;(0.5, 0.5)
3386949599;(0.5264889001846313, 0.5037885308265686, 0.5328812003135681);(-13.117289543151855, 3.5903477668762207, 666.3018798828125);1;(9.047211647033691, 102.17633056640625, 29.143320083618164);(0.5396128296852112, 0.31653812527656555);1;2.8482666015625;1;(0.39685702323913574, 0.5062447190284729, 0.5328866243362427);(47.1973991394043, 3.2708024978637695, 664.7619018554688);1;(0.601355254650116, 82.19905090332031, 21.872148513793945);(0.5038484930992126, 0.4765799641609192);1;2.8322906494140625;1;3382820914;(0.5, 0.5)
3386960702;(0.5266363620758057, 0.5037184953689575, 0.5329036712646484);(-13.186454772949219, 3.614281415939331, 666.3115844726562);1;(8.217915534973145, 101.8492202758789, 29.02424430847168);(0.5361011028289795, 0.319158673286438);1;2.8334197998046875;1;(0.39700642228126526, 0.5062761902809143, 0.5329096913337708);(47.12923812866211, 3.2592873573303223, 664.7783813476562);1;(-2.0041635036468506, 81.11613464355469, 21.477962493896484);(0.4928153455257416, 0.48525556921958923);1;2.8232269287109375;1;3382832008;(0.5, 0.5)
3386971806;(0.5267579555511475, 0.503675639629364, 0.5330083966255188);(-13.244308471679688, 3.629021167755127, 666.3627319335938);1;(7.307606220245361, 100.59674835205078, 28.568361282348633);(0.5322463512420654, 0.3291923999786377);1;2.82122802734375;1;(0.3970978856086731, 0.5063115954399109, 0.5329885482788086);(47.08984375, 3.2467708587646484, 664.8207397460938);1;(-2.280789852142334, 81.78422546386719, 21.72113800048828);(0.4916439652442932, 0.47990334033966064);1;2.822113037109375;1;3382843109;(0.5, 0.5)
3386982909;(0.5269083976745605, 0.5036638379096985, 0.5331215858459473);(-13.315598487854004, 3.632810115814209, 666.4178466796875);1;(8.019902229309082, 100.13247680664062, 28.399372100830078);(0.5352625846862793, 0.3329119086265564);1;2.811370849609375;1;(0.3972662389278412, 0.5063573122024536, 0.5331219434738159);(47.01681137084961, 3.230452537536621, 664.892822265625);1;(-1.8893177509307861, 82.9135513305664, 22.132198333740234);(0.4933016300201416, 0.4708559811115265);1;2.8168182373046875;1;3382854209;(0.5, 0.5)
3386994012;(0.5273509621620178, 0.5036691427230835, 0.5331320762634277);(-13.521976470947266, 3.6290924549102783, 666.4190063476562);1;(7.79767370223999, 99.48937225341797, 28.165334701538086);(0.5343216061592102, 0.33806389570236206);1;2.810089111328125;1;(0.3977468013763428, 0.5064525604248047, 0.5331326723098755);(46.79519271850586, 3.1953279972076416, 664.9140625);1;(-2.0028414726257324, 83.61064910888672, 22.38591957092285);(0.4928209185600281, 0.4652714729309082);1;2.8083953857421875;1;3382865310;(0.5, 0.5)
3387005115;(0.5276235938072205, 0.5037012696266174, 0.5331090092658997);(-13.648722648620605, 3.616621971130371, 666.4049072265625);1;(8.193010330200195, 99.33737182617188, 28.110027313232422);(0.5359956622123718, 0.33928152918815613);1;2.8131561279296875;1;(0.39796024560928345, 0.506499171257019, 0.533108651638031);(46.695770263671875, 3.1781487464904785, 664.9090576171875);1;(-0.35405805706977844, 84.164306640625, 22.587438583374023);(0.49980273842811584, 0.4608359932899475);1;2.8123321533203125;1;3382876411;(0.5, 0.5)
