device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
3406768677;(0.5373219847679138, 0.5070347189903259, 0.543701171875);(-18.30227279663086, 2.428705930709839, 671.5968627929688);1;(12.545136451721191, 87.44701385498047, 23.782245635986328);(0.5544248223304749, 0.4345376789569855);1;2.85693359375;1;(0.4082276225090027, 0.5061337947845459, 0.5437072515487671);(42.27449417114258, 3.289872646331787, 670.5142822265625);1;(-10.770583152770996, 61.12544631958008, 14.202013969421387);(0.45569366216659546, 0.6454048156738281);1;2.8875885009765625;1;3402639786;(0.2875, 0.703125)
3406779781;(0.5371636748313904, 0.5070905089378357, 0.5430152416229248);(-18.218448638916016, 2.4085025787353516, 671.256103515625);1;(11.641444206237793, 85.8199234008789, 23.190052032470703);(0.5505982041358948, 0.4475725293159485);1;2.8489990234375;1;(0.4080740511417389, 0.5061715245246887, 0.5430131554603577);(42.32445526123047, 3.2755398750305176, 670.1633911132812);1;(-8.553003311157227, 62.1258430480957, 14.566144943237305);(0.46508410573005676, 0.6373904943466187);1;2.860992431640625;1;3402650890;(0.2875, 0.703125)
3406790884;(0.537134051322937, 0.5071224570274353, 0.5427321791648865);(-18.20060920715332, 2.3968846797943115, 671.1150512695312);1;(12.851677894592285, 86.46387481689453, 23.4244384765625);(0.5557229518890381, 0.4424135982990265);1;2.8437042236328125;1;(0.4080210030078888, 0.5061763525009155, 0.5427634119987488);(42.341346740722656, 3.2734479904174805, 670.0372314453125);1;(-9.034564971923828, 63.0550422668457, 14.904348373413086);(0.4630448520183563, 0.6299463510513306);1;2.865447998046875;1;3402661998;(0.2875, 0.703125)
3406801987;(0.5371168851852417, 0.5071366429328918, 0.5423361659049988);(-18.18714141845703, 2.3912463188171387, 670.9173583984375);1;(12.376773834228516, 86.89331817626953, 23.580753326416016);(0.553712010383606, 0.4389733374118805);1;2.8376007080078125;1;(0.408003568649292, 0.5061641335487366, 0.5423165559768677);(42.335350036621094, 3.2767374515533447, 669.8136596679688);1;(-7.3459858894348145, 63.47529983520508, 15.057305335998535);(0.4701951742172241, 0.6265794634819031);1;2.8602752685546875;1;3402673106;(0.3, 0.6875)
3406813090;(0.537113606929779, 0.507124125957489, 0.5412828326225281);(-18.171382904052734, 2.3937880992889404, 670.3909301757812);1;(12.895844459533691, 88.6238021850586, 24.210594177246094);(0.5559099912643433, 0.4251101315021515);1;2.8203277587890625;1;(0.4079357087612152, 0.5060189366340637, 0.5412726998329163);(42.333595275878906, 3.3254263401031494, 669.2905883789062);1;(-8.746344566345215, 63.871429443359375, 15.201459884643555);(0.4642653465270996, 0.6234062314033508);1;2.8499603271484375;1;3402684216;(0.3, 0.6875)
3406824193;(0.5371147990226746, 0.5070967674255371, 0.5408310294151306);(-18.1658935546875, 2.4026055335998535, 670.1650390625);1;(13.211152076721191, 87.356689453125, 23.7493896484375);(0.557245135307312, 0.4352611303329468);1;2.8177337646484375;1;(0.4079364836215973, 0.5059404373168945, 0.5408772230148315);(42.32050323486328, 3.352001190185547, 669.0931396484375);1;(-8.008462905883789, 63.81889343261719, 15.18233585357666);(0.46738991141319275, 0.6238269209861755);1;2.840057373046875;1;3402695326;(0.3, 0.6875)
3406835296;(0.5371090173721313, 0.507071316242218, 0.5403072237968445);(-18.156164169311523, 2.4106364250183105, 669.9032592773438);1;(13.629324913024902, 87.81765747070312, 23.917158126831055);(0.5590159296989441, 0.43156832456588745);1;2.817291259765625;1;(0.4079040288925171, 0.5058284401893616, 0.5402982234954834);(42.316978454589844, 3.3899872303009033, 668.8031005859375);1;(-9.468159675598145, 63.25541687011719, 14.977235794067383);(0.4612087905406952, 0.6283411383628845);1;2.835906982421875;1;3402706433;(0.3125, 0.671875)
3406846399;(0.5370819568634033, 0.5069743990898132, 0.5391107201576233);(-18.127607345581055, 2.442627429962158, 669.305419921875);1;(12.581348419189453, 85.79344940185547, 23.180418014526367);(0.5545781850814819, 0.44778457283973694);1;2.8111572265625;1;(0.40788230299949646, 0.5056023001670837, 0.5390912890434265);(42.28824234008789, 3.4662814140319824, 668.1998901367188);1;(-7.8328142166137695, 62.46205520629883, 14.688440322875977);(0.46813368797302246, 0.6346969604492188);1;2.82086181640625;1;3402717537;(0.3125, 0.671875)
3406857502;(0.5370877385139465, 0.506951630115509, 0.5387303233146667);(-18.125221252441406, 2.449913740158081, 669.115234375);1;(10.964912414550781, 85.67713928222656, 23.138090133666992);(0.5477333664894104, 0.44871631264686584);1;2.8096771240234375;1;(0.40788060426712036, 0.5055583715438843, 0.5387592911720276);(42.278404235839844, 3.480821132659912, 668.0340576171875);1;(-8.085521697998047, 61.76216506958008, 14.433695793151855);(0.4670635759830475, 0.6403039693832397);1;2.82427978515625;1;3402728642;(0.3125, 0.671875)
3406868606;(0.5371680855751038, 0.5069881677627563, 0.5384798645973206);(-18.159318923950195, 2.4362781047821045, 668.9890747070312);1;(3.940310478210449, 85.26961517333984, 22.9897518157959);(0.5179874300956726, 0.4519810974597931);1;2.7976531982421875;1;(0.40795907378196716, 0.5055664777755737, 0.5384848713874817);(42.23326110839844, 3.4769439697265625, 667.8994750976562);1;(-17.789825439453125, 58.5677375793457, 13.27101993560791);(0.4259703457355499, 0.6658951640129089);1;2.84124755859375;1;3402739748;(0.325, 0.65625)
