device_time_stamp;left_gaze_origin_in_trackbox_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_gaze_origin_validity;left_gaze_point_in_user_coordinate_system;left_gaze_point_on_display_area;left_gaze_point_validity;left_pupil_diameter;left_pupil_validity;right_gaze_origin_in_trackbox_coordinate_system;right_gaze_origin_in_user_coordinate_system;right_gaze_origin_validity;right_gaze_point_in_user_coordinate_system;right_gaze_point_on_display_area;right_gaze_point_validity;right_pupil_diameter;right_pupil_validity;system_time_stamp;current_target_point_on_display_area
1,99212E+11;(0.6171311736106873, 0.26940545439720154, 0.7107598781585693);(-58.71361541748047, 92.25962829589844, 747.4220581054688);1;(10.205026626586914, 186.4976348876953, 59.83370590209961);(0.516982913017273, 0.46592265367507935);1;29.072.265.625;1;(0.49476632475852966, 0.2659417986869812, 0.7120079398155212);(5.523057460784912, 94.69493865966797, 750.0296020507812);1;(-13.612615585327148, 205.47976684570312, 66.74266052246094);(0.477346271276474, 0.40615931153297424);1;29.767.913.818.359.300;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6170213222503662, 0.2693420648574829, 0.7105718851089478);(-58.64910125732422, 92.27396392822266, 747.3303833007812);1;(10.233749389648438, 185.80128479003906, 59.58028030395508);(0.517030656337738, 0.4681148827075958);1;29.109.039.306.640.600;1;(0.49462300539016724, 0.2658827602863312, 0.7117995619773865);(5.597534656524658, 94.70565032958984, 749.922607421875);1;(-13.402032852172852, 204.44334411621094, 66.36544036865234);(0.4776966869831085, 0.409422367811203);1;29.914.093.017.578.100;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6168909668922424, 0.2692810893058777, 0.7105194330215454);(-58.579105377197266, 92.29583740234375, 747.306640625);1;(9.272740364074707, 184.99722290039062, 59.28762435913086);(0.5154314041137695, 0.47064653038978577);1;29.095.611.572.265.600;1;(0.4945163130760193, 0.2658105492591858, 0.7117512226104736);(5.653249740600586, 94.7313232421875, 749.8946533203125);1;(-10.755820274353027, 203.2193603515625, 65.9199447631836);(0.4821004271507263, 0.41327595710754395);1;2.993.621.826.171.870;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6166459321975708, 0.2692195475101471, 0.7103102803230286);(-58.443294525146484, 92.30961608886719, 747.2098999023438);1;(8.119284629821777, 184.85260009765625, 59.23503112792969);(0.5135118365287781, 0.4711017310619354);1;291.485.595.703.125;1;(0.4942879378795624, 0.2657058537006378, 0.7115628719329834);(5.77233362197876, 94.76155090332031, 749.7949829101562);1;(-10.341095924377441, 202.68606567382812, 65.72586059570312);(0.48279064893722534, 0.41495493054389954);1;30.039.825.439.453.100;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6165729761123657, 0.2692157030105591, 0.7102323174476624);(-58.40222930908203, 92.30711364746094, 747.1739501953125);1;(8.57846450805664, 183.5034637451172, 58.743953704833984);(0.5142760872840881, 0.47534939646720886);1;29.334.869.384.765.600;1;(0.49421343207359314, 0.2656913995742798, 0.711483895778656);(5.811201095581055, 94.76261901855469, 749.7547607421875);1;(-9.433357238769531, 201.16329956054688, 65.17162322998047);(0.48430123925209045, 0.4197491705417633);1;30.013.427.734.375;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6165391206741333, 0.26924818754196167, 0.7102013230323792);(-58.38330841064453, 92.29301452636719, 747.1615600585938);1;(9.015819549560547, 184.03599548339844, 58.93777084350586);(0.5150038599967957, 0.4736727774143219);1;29.382.476.806.640.600;1;(0.4941342771053314, 0.2657197415828705, 0.7114509344100952);(5.852916240692139, 94.74994659423828, 749.7393798828125);1;(-11.3001708984375, 201.07009887695312, 65.1376953125);(0.4811945855617523, 0.4200427234172821);1;3.011.505.126.953.120;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6164506077766418, 0.26939016580581665, 0.7100726366043091);(-58.33207321166992, 92.23102569580078, 747.108154296875);1;(8.873167991638184, 184.9652099609375, 59.27595901489258);(0.5147665143013, 0.47074729204177856);1;29.595.489.501.953.100;1;(0.4940507113933563, 0.2658323347568512, 0.7113305926322937);(5.896986484527588, 94.69903564453125, 749.684814453125);1;(-10.652970314025879, 205.64266967773438, 66.80196380615234);(0.482271671295166, 0.4056464433670044);1;30.042.724.609.375;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6164443492889404, 0.2694653570652008, 0.7101126909255981);(-58.33030319213867, 92.20436096191406, 747.1318359375);1;(11.214648246765137, 186.52099609375, 59.84221649169922);(0.5186630487442017, 0.4658490717411041);1;29.533.233.642.578.100;1;(0.49401265382766724, 0.26587986946105957, 0.7113731503486633);(5.917408466339111, 94.68341827392578, 749.7081298828125);1;(-12.089641571044922, 206.51303100585938, 67.11874389648438);(0.47988080978393555, 0.402906209230423);1;3.015.899.658.203.120;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6164401173591614, 0.26953670382499695, 0.7101079225540161);(-58.32785415649414, 92.17642974853516, 747.1331176757812);1;(12.602553367614746, 187.52493286132812, 60.207618713378906);(0.5209727883338928, 0.46268829703330994);1;29.542.083.740.234.300;1;(0.49400588870048523, 0.26592960953712463, 0.7113621830940247);(5.921177387237549, 94.66339111328125, 749.705078125);1;(-11.320900917053223, 207.7649688720703, 67.57440948486328);(0.48116010427474976, 0.3989645838737488);1;30.215.301.513.671.800;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6164480447769165, 0.26965245604515076, 0.7103696465492249);(-58.342002868652344, 92.14738464355469, 747.2677612304688);1;(12.898728370666504, 188.39051818847656, 60.52265548706055);(0.5214656591415405, 0.4599631130695343);1;29.674.530.029.296.800;1;(0.4940013289451599, 0.26594308018684387, 0.7116130590438843);(5.92462682723999, 94.67389678955078, 749.8301391601562);1;(-10.929783821105957, 208.15118408203125, 67.71498107910156);(0.481810986995697, 0.39774858951568604);1;3.034.759.521.484.370;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6164549589157104, 0.2696729600429535, 0.7105085253715515);(-58.35094451904297, 92.14781951904297, 747.3372192382812);1;(10.188539505004883, 188.78709411621094, 60.66701126098633);(0.5169554352760315, 0.4587145447731018);1;29.663.543.701.171.800;1;(0.4940069317817688, 0.26587843894958496, 0.7117723226547241);(5.921989917755127, 94.70901489257812, 749.906005859375);1;(-11.093172073364258, 205.75979614257812, 66.84458923339844);(0.4815390706062317, 0.4052776098251343);1;3.046.661.376.953.120;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6164788007736206, 0.2696656882762909, 0.7106048464775085);(-58.367130279541016, 92.15626525878906, 747.3836059570312);1;(10.25729751586914, 190.2655487060547, 61.205142974853516);(0.517069935798645, 0.45405980944633484);1;29.723.052.978.515.600;1;(0.49401044845581055, 0.26577481627464294, 0.7118775844573975);(5.920069694519043, 94.75594329833984, 749.953125);1;(-12.353338241577148, 205.19602966308594, 66.639404296875);(0.47944194078445435, 0.40705257654190063);1;305.377.197.265.625;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6165679693222046, 0.2695680856704712, 0.7106291651725769);(-58.414649963378906, 92.1946792602539, 747.387451171875);1;(11.474810600280762, 188.58934020996094, 60.59507751464844);(0.5190960764884949, 0.4593372344970703);1;29.733.428.955.078.100;1;(0.4940589666366577, 0.26553380489349365, 0.7119157910346985);(5.893521308898926, 94.8519058227539, 749.96044921875);1;(-12.091127395629883, 201.15081787109375, 65.16705322265625);(0.479878306388855, 0.41978856921195984);1;30.889.129.638.671.800;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6165963411331177, 0.26952722668647766, 0.7105444073677063);(-58.42621612548828, 92.20503997802734, 747.3424682617188);1;(11.766631126403809, 187.89187622070312, 60.3411979675293);(0.51958167552948, 0.4615330696105957);1;29.956.207.275.390.600;1;(0.49411439895629883, 0.26540276408195496, 0.7118320465087891);(5.86336612701416, 94.89738464355469, 749.9127807617188);1;(-10.211078643798828, 202.2336883544922, 65.56118774414062);(0.4830069839954376, 0.4163791835308075);1;308.001.708.984.375;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6166313290596008, 0.2695031762123108, 0.7104471325874329);(-58.440704345703125, 92.20806121826172, 747.2918090820312);1;(10.6322660446167, 186.9607696533203, 60.002296447753906);(0.5176938772201538, 0.4644644260406494);1;29.932.098.388.671.800;1;(0.4941984713077545, 0.2652687132358551, 0.7117398977279663);(5.818083763122559, 94.94331359863281, 749.8607788085938);1;(-8.456611633300781, 200.47393798828125, 64.9206771850586);(0.48592668771743774, 0.4219195544719696);1;309.112.548.828.125;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6167896389961243, 0.26949527859687805, 0.7102924585342407);(-58.51728057861328, 92.199951171875, 747.2086791992188);1;(10.252833366394043, 187.02867126464844, 60.026981353759766);(0.5170624256134033, 0.4642506539821625);1;300.738.525.390.625;1;(0.4943510890007019, 0.26503846049308777, 0.7116193771362305);(5.736141204833984, 95.0245590209961, 749.7904663085938);1;(-8.377622604370117, 201.9391326904297, 65.45392608642578);(0.48605814576148987, 0.4173066318035126);1;310.406.494.140.625;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6168860793113708, 0.269519180059433, 0.7101307511329651);(-58.561275482177734, 92.17974853515625, 747.1259155273438);1;(10.60471248626709, 187.9212646484375, 60.35188293457031);(0.5176481008529663, 0.4614405333995819);1;29.921.112.060.546.800;1;(0.49444764852523804, 0.2649376094341278, 0.7114490866661072);(5.6841630935668945, 95.05258178710938, 749.7014770507812);1;(-8.2495756149292, 201.80780029296875, 65.40613555908203);(0.4862712621688843, 0.4177201986312866);1;31.181.793.212.890.600;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6170347929000854, 0.269552618265152, 0.7100645899772644);(-58.636234283447266, 92.16110229492188, 747.0889282226562);1;(11.534280776977539, 186.09092712402344, 59.68570327758789);(0.519195020198822, 0.4672030806541443);1;29.989.776.611.328.100;1;(0.49455180764198303, 0.2648148834705353, 0.7113991975784302);(5.628538131713867, 95.09662628173828, 749.671142578125);1;(-10.09418773651123, 201.6577911376953, 65.3515396118164);(0.4832015037536621, 0.41819244623184204);1;31.268.310.546.875;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6173912286758423, 0.26973584294319153, 0.7097609639167786);(-58.81009292602539, 92.06761169433594, 746.9334106445312);1;(11.403697967529297, 186.9065399169922, 59.98255157470703);(0.518977701663971, 0.4646351635456085);1;30.060.882.568.359.300;1;(0.49484291672706604, 0.26454734802246094, 0.7111546397209167);(5.473072528839111, 95.18374633789062, 749.5379638671875);1;(-10.882874488830566, 201.8267822265625, 65.41307830810547);(0.4818890392780304, 0.4176604449748993);1;313.507.080.078.125;1;1,99204E+11;(0.5, 0.5)
1,99212E+11;(0.6175398230552673, 0.2698410749435425, 0.70976722240448);(-58.8876953125, 92.02555084228516, 746.9356079101562);1;(9.661240577697754, 188.7102508544922, 60.639015197753906);(0.5160779356956482, 0.4589564800262451);1;29.978.179.931.640.600;1;(0.4949902296066284, 0.2644411027431488, 0.7111828327178955);(5.395125389099121, 95.22606658935547, 749.5474243164062);1;(-12.430488586425781, 203.42477416992188, 65.99468994140625);(0.4793134927749634, 0.41262924671173096);1;3.129.302.978.515.620;1;1,99204E+11;(0.5, 0.5)
1,99213E+11;(0.6177157759666443, 0.2699652910232544, 0.7096753120422363);(-58.9757080078125, 91.96983337402344, 746.8890991210938);1;(9.934897422790527, 188.35011291503906, 60.5079231262207);(0.516533374786377, 0.46009039878845215);1;30.033.111.572.265.600;1;(0.4951744079589844, 0.2643531560897827, 0.7111095190048218);(5.297458171844482, 95.25462341308594, 749.5074462890625);1;(-10.829729080200195, 203.838623046875, 66.14533233642578);(0.4819774031639099, 0.41132616996765137);1;31.270.294.189.453.100;1;1,99204E+11;(0.5, 0.5)
1,99213E+11;(0.6181231141090393, 0.27042290568351746, 0.7095513939857483);(-59.18278503417969, 91.78030395507812, 746.8333740234375);1;(10.196146965026855, 189.71444702148438, 61.004520416259766);(0.5169681310653687, 0.4557948708534241);1;30.062.255.859.375;1;(0.4955345094203949, 0.2642148435115814, 0.7110549211502075);(5.107004165649414, 95.30301666259766, 749.4751586914062);1;(-11.421843528747559, 201.52890014648438, 65.30461883544922);(0.48099204897880554, 0.4185982048511505);1;31.320.037.841.796.800;1;1,99204E+11;(0.5, 0.5)
1,99213E+11;(0.6182658076286316, 0.2706546187400818, 0.7094377279281616);(-59.252506256103516, 91.68194580078125, 746.7825317382812);1;(10.759664535522461, 190.5029754638672, 61.291534423828125);(0.5179058909416199, 0.4533122777938843);1;30.200.042.724.609.300;1;(0.49568435549736023, 0.26422467827796936, 0.7109584808349609);(5.02783203125, 95.29228973388672, 749.428466796875);1;(-11.227805137634277, 201.2858123779297, 65.21614837646484);(0.481315016746521, 0.4193636178970337);1;31.386.871.337.890.600;1;1,99204E+11;(0.5, 0.5)
1,99213E+11;(0.6183902025222778, 0.2709323465824127, 0.7091217041015625);(-59.30466842651367, 91.55367279052734, 746.6343994140625);1;(10.440550804138184, 190.7406768798828, 61.37805938720703);(0.5173748135566711, 0.4525637626647949);1;301.629.638.671.875;1;(0.49580642580986023, 0.2642917037010193, 0.7106566429138184);(4.96287727355957, 95.24650573730469, 749.2825927734375);1;(-12.478849411010742, 200.67454528808594, 64.99365234375);(0.4792330265045166, 0.42128807306289673);1;31.423.492.431.640.600;1;1,99204E+11;(0.5, 0.5)
1,99213E+11;(0.6186308860778809, 0.2717069089412689, 0.7085488438606262);(-59.406837463378906, 91.21597290039062, 746.3781127929688);1;(8.825940132141113, 194.15887451171875, 62.6221923828125);(0.5146877765655518, 0.4418019950389862);1;3.014.923.095.703.120;1;(0.49601420760154724, 0.26450666785240173, 0.7102013230323792);(4.85303258895874, 95.1330337524414, 749.0681762695312);1;(-12.194222450256348, 202.7254638671875, 65.74016571044922);(0.47970670461654663, 0.4148309826850891);1;3.142.547.607.421.870;1;1,99204E+11;(0.5, 0.5)
1,99213E+11;(0.6186973452568054, 0.2720274329185486, 0.7083543539047241);(-59.43354415893555, 91.07921600341797, 746.29443359375);1;(10.376739501953125, 190.77127075195312, 61.389225006103516);(0.5172686576843262, 0.45246750116348267);1;30.266.265.869.140.600;1;(0.4960729777812958, 0.2646433413028717, 0.7100212574005127);(4.822166919708252, 95.06822967529297, 748.98583984375);1;(-11.0416898727417, 203.58511352539062, 66.05304718017578);(0.4816247224807739, 0.4121244549751282);1;314.404.296.875;1;1,99204E+11;(0.5, 0.5)
